SA3_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,SA3_NAME11
10501,3290,18,10,181,16,3515,1791,10,3,17,9,1830,359,22,69,11,0,461,515,7,49,3,0,574,685,18,57,40,5,805,339,12,65,4,0,420,699,35,109,27,0,870,266,3,15,18,0,302,2863,97,364,103,5,3432,131,4,0,19,0,154,343,3,21,40,0,407,8418,132,398,360,30,9338,Bourke - Cobar - Coonamble
10502,3598,6,78,36,21,3739,2226,5,43,13,4,2291,589,13,56,0,0,658,158,8,27,3,11,207,494,21,65,5,6,591,65,3,3,0,0,71,263,7,38,13,7,328,75,4,5,0,0,84,1644,56,194,21,24,1939,76,6,3,0,3,88,320,3,33,12,3,371,7864,76,351,82,55,8428,Broken Hill and Far West
10503,8349,123,169,88,5,8734,7583,96,78,26,7,7790,2139,435,705,20,3,3302,811,90,231,0,0,1132,1464,68,115,35,0,1682,139,28,76,0,0,243,356,16,48,39,3,462,253,8,21,6,0,288,5162,645,1196,100,6,7109,159,14,89,3,0,265,518,41,87,45,3,694,21771,919,1619,262,21,24592,Dubbo
10601,9706,186,120,75,3,10090,10561,153,65,24,3,10806,3072,645,405,9,9,4140,728,102,221,0,0,1051,1295,64,56,22,0,1437,32,45,7,0,0,84,273,35,9,60,3,380,178,18,8,4,0,208,5578,909,706,95,12,7300,154,33,8,0,0,195,668,51,38,9,3,769,26667,1332,937,203,21,29160,Lower Hunter
10102,4856,373,236,105,9,5579,6699,760,516,30,6,8011,939,628,1115,16,0,2698,493,92,113,0,0,698,667,225,252,21,3,1168,29,38,25,0,0,92,412,26,31,32,0,501,71,20,17,4,0,112,2611,1029,1553,73,3,5269,70,20,17,3,0,110,235,50,77,28,0,390,14471,2232,2399,239,18,19359,Queanbeyan
10103,2625,94,50,30,11,2810,2006,76,63,12,3,2160,486,150,126,0,7,769,79,9,24,0,0,112,426,51,47,16,7,547,22,7,3,0,0,32,107,21,17,8,3,156,71,10,5,3,3,92,1191,248,222,27,20,1708,40,8,6,0,3,57,130,13,18,21,35,217,5992,439,359,90,72,6952,Snowy Mountains
10104,10832,638,477,313,14,12274,6575,202,187,52,3,7019,2102,453,719,21,4,3299,478,153,129,3,0,763,1475,169,225,50,3,1922,134,55,32,0,0,221,191,21,28,65,0,305,165,18,21,16,0,220,4545,869,1154,155,7,6730,144,86,32,10,4,276,552,100,93,33,0,778,22648,1895,1943,563,28,27077,South Coast
10201,17087,3036,1170,360,19,21672,19186,1375,652,31,25,21269,5640,2002,1930,75,44,9691,748,639,608,0,0,1995,2293,449,313,50,18,3123,85,131,124,0,0,340,270,73,22,82,3,450,209,48,56,3,0,316,9245,3342,3053,210,65,15915,243,561,181,6,3,994,964,406,243,28,0,1641,46725,8720,5299,635,112,61491,Gosford
10202,16429,1402,768,273,3,18875,17921,804,215,30,7,18977,6886,1470,1143,46,3,9548,730,623,392,3,3,1751,2618,306,230,43,3,3200,114,82,125,0,0,321,300,32,47,247,3,629,210,56,26,13,3,308,10858,2569,1963,352,15,15757,222,136,150,7,0,515,1148,214,185,41,0,1588,46578,5125,3281,703,25,55712,Wyong
10301,4922,179,124,32,5,5262,5052,140,84,5,6,5287,1645,451,493,3,8,2600,417,71,102,5,0,595,756,95,75,4,4,934,42,34,3,0,0,79,122,8,9,15,3,157,107,9,6,5,0,127,3089,668,688,32,15,4492,70,5,7,0,3,85,316,46,39,7,0,408,13449,1038,942,76,29,15534,Bathurst
10302,8594,103,53,76,7,8833,5679,23,25,28,9,5764,1474,207,342,14,0,2037,664,18,102,0,3,787,1486,59,93,21,3,1662,131,49,55,0,0,235,469,26,33,24,0,552,263,7,19,4,0,293,4487,366,644,63,6,5566,156,29,3,3,0,191,620,37,57,31,6,751,19536,558,782,201,28,21105,Lachlan Valley
10303,6485,170,59,72,5,6791,4880,70,19,20,3,4992,1484,294,251,33,0,2062,541,58,103,0,0,702,887,59,34,16,4,1000,35,6,11,3,0,55,204,5,9,29,0,247,156,5,8,4,0,173,3307,427,416,85,4,4239,100,27,0,0,0,127,408,45,35,45,0,533,15180,739,529,222,12,16682,Lithgow - Mudgee
10304,6419,208,74,40,8,6749,6478,127,34,23,3,6665,2288,455,408,33,0,3184,661,126,185,0,0,972,894,57,61,22,0,1034,66,19,49,4,0,138,172,11,14,13,0,210,130,9,9,3,0,151,4211,677,726,75,0,5689,99,10,23,3,0,135,421,49,43,24,3,540,17628,1071,900,165,14,19778,Orange
10401,7582,250,201,295,5,8333,5155,79,67,44,3,5348,1676,255,469,16,3,2419,286,44,97,4,0,431,1062,99,162,28,0,1351,107,27,23,0,12,169,139,8,30,80,3,260,131,3,6,8,0,148,3401,436,787,136,18,4778,102,4,9,9,3,127,391,25,38,39,3,496,16631,794,1102,523,32,19082,Clarence Valley
10402,9886,704,443,571,0,11604,8185,404,218,41,4,8852,2947,959,1154,19,3,5082,638,303,312,0,0,1253,1691,269,305,82,4,2351,94,77,77,10,0,258,193,32,38,168,3,434,166,25,36,22,0,249,5729,1665,1922,301,10,9627,193,111,54,25,3,386,534,97,119,41,0,791,24527,2981,2756,979,17,31260,Coffs Harbour
10101,9403,247,73,113,13,9849,8163,118,45,48,14,8388,1904,384,403,18,7,2716,672,40,73,0,0,785,1540,99,66,37,3,1745,79,49,39,0,0,167,395,7,16,56,3,477,249,6,9,9,0,273,4839,585,606,120,13,6163,176,30,16,4,0,226,538,41,30,18,0,627,23119,1021,770,303,40,25253,Goulburn - Yass
10602,6633,309,126,33,0,7101,8862,202,88,19,0,9171,2357,535,537,34,0,3463,813,193,180,0,0,1186,768,104,76,15,0,963,29,28,32,0,0,89,228,17,17,40,3,305,64,7,4,3,0,78,4259,884,846,92,3,6084,76,25,38,0,0,139,344,60,60,12,0,476,20174,1480,1158,156,3,22971,Maitland
10603,8187,741,275,309,0,9512,7076,431,112,34,3,7656,2551,983,437,16,4,3991,585,126,129,0,3,843,905,178,106,21,3,1213,96,54,8,0,0,158,485,57,17,115,0,674,90,25,8,0,3,126,4712,1423,705,152,13,7005,207,76,21,6,0,310,480,82,45,31,0,638,20662,2753,1158,532,16,25121,Port Stephens
10604,3222,41,27,67,3,3360,3398,23,37,12,3,3473,1196,154,262,5,11,1628,346,33,68,0,0,447,670,12,42,4,3,731,74,16,21,0,0,111,331,9,17,64,0,421,178,0,12,3,0,193,2795,224,422,76,14,3531,87,11,3,0,0,101,249,25,31,8,3,316,9751,324,520,163,23,10781,Upper Hunter
10701,9080,439,146,205,3,9873,8141,326,112,13,7,8599,1692,283,522,25,0,2522,1390,449,546,0,0,2385,918,110,153,20,3,1204,42,58,13,0,0,113,130,13,32,29,0,204,78,10,26,4,0,118,4250,923,1292,78,3,6546,110,66,9,7,0,192,547,72,78,16,0,713,22128,1826,1637,319,13,25923,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,Illawarra Catchment Reserve
10703,9402,837,359,254,0,10852,9756,640,181,6,0,10583,2177,917,574,44,5,3717,1187,303,245,0,0,1735,1102,253,150,22,0,1527,59,29,56,0,0,144,97,21,15,45,0,178,85,18,22,5,0,130,4707,1541,1062,116,5,7431,105,39,119,5,0,268,497,99,74,19,0,689,24467,3156,1795,400,5,29823,Kiama - Shellharbour
10704,12342,1453,1531,207,6,15539,10848,1409,1468,22,3,13750,2357,1629,3977,76,18,8057,1036,1153,1215,0,4,3408,1277,426,935,36,7,2681,68,59,120,0,0,247,130,28,115,41,0,314,122,25,81,5,0,233,4990,3320,6443,158,29,14940,152,46,192,5,0,395,648,196,339,37,0,1220,28980,6424,9973,429,38,45844,Wollongong
10801,4453,743,325,239,5,5765,2577,149,89,26,3,2844,946,318,540,10,3,1817,42,112,72,0,0,226,554,111,109,18,0,792,47,59,9,0,0,115,71,14,17,53,0,155,48,7,6,15,0,76,1708,621,753,96,3,3181,55,47,4,12,0,118,244,102,59,29,0,434,9037,1662,1230,402,11,12342,Great Lakes
10802,7332,268,165,172,3,7940,4511,127,45,28,3,4714,1689,247,442,22,0,2400,549,52,98,0,0,699,991,55,86,20,3,1155,167,39,46,0,0,252,124,16,22,69,0,231,150,12,16,5,0,183,3670,421,710,116,3,4920,96,8,11,6,0,121,425,46,54,24,0,549,16034,870,985,346,9,18244,Kempsey - Nambucca
