sa3_code16,p_noni_35_44_ptgdde_gddp_gdct,p_noni_35_44_bdl,p_noni_35_44_adip_dipl,p_noni_35_44_ct_iii_iv,p_noni_35_44_ct_i_ii,p_noni_35_44_cl_nfd,p_noni_35_44_loe_ns,p_noni_35_44_tot,p_noni_45_54_ptgdde_gddp_gdct,p_noni_45_54_bdl,p_noni_45_54_adip_dipl,p_noni_45_54_ct_iii_iv,p_noni_45_54_ct_i_ii,p_noni_45_54_cl_nfd,p_noni_45_54_loe_ns,p_noni_45_54_tot,p_noni_55_64_ptgdde_gddp_gdct,p_noni_55_64_bdl,p_noni_55_64_adip_dipl,p_noni_55_64_ct_iii_iv,p_noni_55_64_ct_i_ii,p_noni_55_64_cl_nfd,p_noni_55_64_loe_ns,p_noni_55_64_tot,p_noni_65ov_ptgdde_gddp_gdct,p_noni_65ov_bdl,p_noni_65ov_adip_dipl,p_noni_65ov_ct_iii_iv,p_noni_65ov_ct_i_ii,p_noni_65ov_cl_nfd,p_noni_65ov_loe_ns,p_noni_65ov_tot,p_noni_tot_ptgdde_gddp_gdct,p_noni_tot_bdl,p_noni_tot_adip_dipl,p_noni_tot_ct_iii_iv,p_noni_tot_ct_i_ii,p_noni_tot_cl_nfd,p_noni_tot_loe_ns,p_noni_tot_tot,p_is_ns_15_19_pgdde_gddp_gdct,p_is_ns_15_19_bdl,p_is_ns_15_19_adip_dipl,p_is_ns_15_19_ct_iii_and_iv_l,p_is_ns_15_19_ct_i_ii,p_is_ns_15_19_cl_nfd,p_is_ns_15_19_loe_ns,p_is_ns_15_19_tot,p_is_ns_20_24_pgde_gddp_gdctl,p_is_ns_20_24_bdl,p_is_ns_20_24_adip_dipl,p_is_ns_20_24_ct_iii_and_iv_l,p_is_ns_20_24_ct_i_ii,p_is_ns_20_24_cl_nfd,p_is_ns_20_24_loe_ns,p_is_ns_20_24_tot,p_is_ns_25_34_pgde_gddp_gdctl,p_is_ns_25_34_bdl,p_is_ns_25_34_adip_dipl,p_is_ns_25_34_ct_iii_and_iv_l,p_is_ns_25_34_ct_i_ii,p_is_ns_25_34_cl_nfd,p_is_ns_25_34_loe_ns,p_is_ns_25_34_tot,p_is_ns_35_44_pgde_gddp_gdctl,p_is_ns_35_44_bdl,p_is_ns_35_44_adip_dipl,p_is_ns_35_44_ct_iii_and_iv_l,p_is_ns_35_44_ct_i_ii,p_is_ns_35_44_cl_nfd,p_is_ns_35_44_loe_ns,p_is_ns_35_44_tot,p_is_ns_45_54_pgde_gddp_gdctl,p_is_ns_45_54_bdl,p_is_ns_45_54_adip_dipl,p_is_ns_45_54_ct_iii_and_iv_l,p_is_ns_45_54_ct_i_ii,p_is_ns_45_54_cl_nfd,p_is_ns_45_54_loe_ns,p_is_ns_45_54_tot,p_is_ns_55_64_pgde_gddp_gdctl,p_is_ns_55_64_bdl,p_is_ns_55_64_adip_dipl,p_is_ns_55_64_crt_iii_and_iv,p_is_ns_55_64_ct_i_ii,p_is_ns_55_64_cl_nfd,p_is_ns_55_64_loe_ns,p_is_ns_55_64_tot,p_is_ns_65ov_pgdde_gddp_gdct,p_is_ns_65ov_bdl,p_is_ns_65ov_adip_dipl,p_is_ns_65ov_crt_iii_and_iv,p_is_ns_65ov_ct_i_ii,p_is_ns_65ov_cl_nfd,p_is_ns_65ov_loe_ns,p_is_ns_65ov_tot,p_is_ns_totpdde_gddp_gdct,p_is_ns_tot_bdl,p_is_ns_tot_adip_dipl,p_is_ns_tot_ct_iii_iv,p_is_ns_tot_ct_i_ii,p_is_ns_tot_cl_nfd,p_is_ns_tot_loe_ns,p_is_ns_tot_tot,p_tot_15_19_pgde_gddp_gdctl,p_tot_15_19_bdl,p_tot_15_19_adip_dipl,p_tot_15_19_ct_iii_and_iv_l,p_tot_15_19_ct_i_ii,p_tot_15_19_cl_nfd,p_tot_15_19_loe_ns,p_tot_15_19_tot,p_tot_20_24_pgde_gddp_gdctl,p_tot_20_24_bdl,p_tot_20_24_adip_dipl,p_tot_20_24_ct_iii_and_iv_l,p_tot_20_24_ct_i_ii,p_tot_20_24_cl_nfd,p_tot_20_24_loe_ns,p_tot_20_24_tot,p_tot_25_34_pgde_gddp_gdctl,p_tot_25_34_bdl,p_tot_25_34_adip_dipl,p_tot_25_34_ct_iii_and_iv_l,p_tot_25_34_ct_i_ii,p_tot_25_34_cl_nfd,p_tot_25_34_loe_ns,p_tot_25_34_tot,p_tot_35_44_pgde_gddp_gdctl,p_tot_35_44_bdl,p_tot_35_44_adip_dipl,p_tot_35_44_ct_iii_and_iv_l,p_tot_35_44_ct_i_ii,p_tot_35_44_cl_nfd,p_tot_35_44_loe_ns,p_tot_35_44_tot,p_tot_45_54_pgde_gddp_gdctl,p_tot_45_54_bdl,p_tot_45_54_adip_dipl,p_tot_45_54_ct_iii_and_iv_l,p_tot_45_54_ct_i_ii,p_tot_45_54_cl_nfd,p_tot_45_54_loe_ns,p_tot_45_54_tot,p_tot_55_64_pgde_gddp_gdctl,p_tot_55_64_bdl,p_tot_55_64_adip_dipl,p_tot_55_64_ct_iii_and_iv_l,p_tot_55_64_ct_i_ii,p_tot_55_64_cl_nfd,p_tot_55_64_loe_ns,p_tot_55_64_tot,p_tot_65ov_ptgdde_gddp_gdct,p_tot_65ov_bdl,p_tot_65ov_adip_dipl,p_tot_65ov_ct_iii_and_iv_l,p_tot_65ov_ct_i_ii,p_tot_65ov_cl_nfd,p_tot_65ov_loe_ns,p_tot_65ov_tot,p_tot_tot_pgde_gddp_gdctl,p_tot_tot_bdl,p_tot_tot_adip_dipl,p_tot_tot_ct_iii_and_iv_l,p_tot_tot_ct_i_ii,p_tot_tot_cl_nfd,p_tot_tot_loe_ns,p_tot_tot_tot,sa3_name16
10102,989,1552,988,1530,72,135,186,5456,1146,1322,1152,1593,87,219,262,5770,747,912,772,1210,77,185,267,4179,467,668,505,827,55,203,535,3259,4022,6360,4459,7485,521,868,1612,25318,0,0,0,0,0,0,187,193,0,3,0,6,0,0,210,219,0,6,3,11,0,0,552,584,3,13,5,10,3,0,519,553,3,3,7,17,0,4,582,618,3,10,0,6,0,0,461,481,0,3,3,12,0,6,557,581,15,41,20,61,3,5,3074,3232,0,0,22,105,55,13,339,536,24,335,206,663,94,31,288,1644,663,1603,836,1684,110,86,729,5714,998,1590,1023,1580,81,143,720,6119,1164,1344,1192,1646,86,223,848,6501,758,935,791,1246,77,192,738,4735,468,673,512,843,52,205,1088,3856,4074,6482,4575,7774,552,902,4755,29102,Queanbeyan
10103,111,364,247,606,38,41,119,1530,117,353,332,695,46,64,149,1769,169,323,254,577,45,85,159,1621,136,265,259,570,28,106,361,1728,611,1695,1317,3307,232,379,1038,8585,0,0,0,0,0,0,72,72,0,0,0,0,0,0,89,95,0,0,3,4,0,0,182,187,0,0,0,9,0,0,156,167,0,3,0,10,0,0,223,232,0,0,0,5,0,0,181,190,3,3,3,8,0,0,338,355,5,7,9,36,4,0,1238,1298,0,0,3,49,16,4,168,247,7,69,45,221,31,17,139,528,70,313,188,607,36,54,307,1574,120,371,254,632,42,40,284,1738,122,359,340,718,46,64,379,2026,181,327,259,595,49,85,344,1838,137,272,269,585,28,105,700,2096,626,1716,1348,3401,247,383,2333,10055,Snowy Mountains
10104,289,910,621,1644,127,172,229,3994,471,1031,902,2280,143,251,355,5435,815,1454,1313,2655,175,416,581,7408,762,1706,1585,2856,150,570,2225,9855,2533,5787,4867,11573,822,1574,3885,31033,0,0,0,0,0,0,199,199,0,0,0,8,0,0,159,166,0,3,3,18,0,0,321,347,0,7,5,14,4,0,412,441,9,9,8,19,0,3,640,684,7,7,6,25,0,3,826,879,7,11,10,35,0,6,1384,1453,17,48,36,112,5,11,3939,4175,0,0,0,131,40,20,475,670,15,99,102,615,89,61,270,1245,182,596,366,1560,132,109,527,3464,300,943,640,1729,138,188,673,4611,486,1061,945,2357,150,257,1023,6284,829,1488,1344,2722,182,428,1428,8416,774,1730,1604,2899,151,572,3650,11380,2583,5911,5000,12011,884,1636,8049,36076,South Coast
10105,179,454,441,1025,55,106,282,2534,182,419,510,1113,83,145,270,2718,282,429,514,914,63,149,308,2651,190,413,471,987,32,178,1027,3296,978,2273,2418,5661,380,692,2333,14743,0,0,0,0,0,0,133,129,0,0,0,4,0,0,104,109,0,0,0,13,3,0,227,248,0,0,3,6,0,5,220,246,4,3,6,4,4,0,299,323,3,0,0,9,0,0,263,278,0,4,4,16,0,3,450,479,14,18,22,52,11,12,1706,1821,0,0,12,109,31,12,275,435,12,93,101,450,64,41,224,981,146,482,379,1137,74,71,527,2817,183,463,456,1064,56,107,539,2879,187,428,530,1154,89,152,586,3118,290,434,527,929,63,152,581,2978,187,424,476,1008,30,185,1494,3808,1006,2329,2482,5848,406,714,4224,17016,Goulburn - Mulwaree
10106,327,763,479,999,41,89,141,2834,352,687,537,1038,75,145,182,3013,330,554,466,847,45,139,236,2614,269,518,457,793,48,164,865,3108,1428,3175,2281,4996,348,614,1701,14551,0,0,0,0,0,0,131,131,0,0,0,0,0,0,106,111,3,4,0,5,0,0,170,183,4,4,6,6,3,0,241,265,0,3,3,9,0,0,285,303,0,0,4,9,0,0,309,322,3,7,3,9,0,3,405,424,10,20,10,44,10,3,1646,1744,0,0,3,79,39,16,291,430,10,120,69,415,52,30,151,842,144,547,285,891,67,39,265,2240,333,770,495,1026,52,96,384,3156,364,693,547,1083,83,149,471,3390,331,556,476,871,48,141,559,2974,267,526,463,817,47,164,1289,3576,1455,3220,2337,5176,380,636,3415,16616,Young - Yass
10201,1520,4102,2810,4574,282,398,583,14276,1505,3188,3098,5158,307,663,859,14785,1495,2825,2582,4412,305,835,1028,13480,1257,2793,2802,5118,271,1199,4095,17532,6782,17462,13794,25565,1705,3547,7605,76463,0,0,0,5,0,3,375,387,0,0,8,20,5,3,393,427,3,21,14,28,4,5,792,858,10,15,12,43,0,3,890,972,9,13,7,44,4,7,974,1065,3,11,17,35,0,3,977,1047,7,20,32,48,5,4,1900,2027,41,85,93,224,17,29,6309,6791,3,4,78,401,118,44,796,1455,73,835,542,1777,217,144,626,4201,949,3798,1992,4508,264,307,1298,13114,1552,4188,2873,4748,291,403,1506,15561,1529,3241,3152,5331,319,685,1873,16130,1512,2873,2640,4525,305,843,2038,14735,1276,2839,2842,5191,278,1216,6040,19675,6897,17766,14121,26479,1800,3638,14163,84870,Gosford
10202,627,2219,2260,4939,316,463,538,11364,649,1577,2094,5205,308,595,821,11250,690,1525,1742,4292,251,657,1001,10165,548,1386,1742,4892,176,854,3894,13489,3037,9383,10138,26799,1742,3119,7352,61561,0,0,0,9,0,0,385,398,0,4,4,15,0,0,447,471,3,7,8,29,0,3,783,842,0,13,9,22,3,3,830,876,0,8,19,43,3,4,948,1023,5,0,21,33,0,3,990,1063,8,14,16,61,4,6,2127,2232,15,44,83,210,8,20,6510,6900,3,3,80,498,195,78,816,1674,36,534,513,2116,246,181,703,4324,495,2235,1848,5406,322,354,1312,11971,644,2280,2345,5190,344,481,1409,12689,663,1626,2195,5442,327,625,1810,12687,703,1553,1799,4429,268,674,2041,11464,561,1408,1775,5009,185,866,6073,15872,3099,9636,10551,28084,1883,3249,14170,70673,Wyong
10301,329,879,518,1273,97,121,297,3516,354,745,613,1389,98,176,294,3668,395,643,597,1095,80,198,273,3274,333,544,582,1045,49,233,753,3537,1682,3988,2849,6994,558,886,2377,19333,0,0,0,0,0,3,253,255,0,0,0,4,3,0,298,303,0,0,0,12,0,0,294,311,0,6,9,9,0,0,299,321,3,3,3,20,0,6,365,404,0,10,4,3,0,0,363,381,0,3,7,8,0,3,701,713,8,17,23,57,6,14,2569,2690,0,0,20,135,44,23,407,633,13,230,124,694,97,56,609,1819,263,971,424,1533,117,98,785,4187,337,901,543,1342,104,141,647,4013,362,763,631,1436,102,185,692,4178,396,659,617,1116,82,202,656,3725,335,543,593,1065,50,239,1466,4296,1715,4064,2953,7316,607,930,5260,22851,Bathurst
10302,173,732,451,1357,105,142,193,3146,184,550,548,1437,126,189,294,3324,224,457,603,1326,109,226,463,3400,134,445,588,1266,86,225,1346,4103,860,3105,2630,7481,680,929,2671,18357,0,0,0,0,0,0,265,269,0,0,0,8,0,0,226,240,0,3,0,9,0,0,409,418,0,3,0,17,4,4,450,473,0,3,0,19,0,0,575,599,0,0,4,9,0,3,581,603,0,4,7,11,0,3,1061,1094,3,14,15,78,4,12,3569,3690,0,0,17,152,62,30,506,760,12,166,95,707,92,50,323,1447,139,803,374,1515,132,95,592,3651,181,753,491,1499,119,152,673,3865,188,577,578,1568,144,204,907,4157,227,463,629,1394,119,232,1086,4151,139,451,606,1300,89,236,2460,5282,881,3213,2779,8145,759,1003,6547,23328,Lachlan Valley
10303,186,572,424,1320,91,94,265,2946,179,477,531,1553,105,176,307,3326,244,484,521,1209,92,187,376,3106,172,499,507,1279,66,246,1050,3820,889,2707,2411,7442,584,829,2500,17365,0,0,0,3,3,0,204,217,0,0,0,3,0,0,191,203,0,8,4,13,0,3,450,477,0,7,5,18,0,3,446,473,0,0,3,18,0,3,574,601,6,7,6,18,0,0,594,625,3,11,4,18,0,0,913,950,6,29,22,83,5,10,3383,3545,0,0,3,128,55,16,411,622,5,100,93,629,75,31,327,1255,110,597,361,1519,121,93,737,3537,192,592,449,1403,99,99,760,3585,178,491,550,1629,113,185,912,4058,253,491,542,1262,95,192,986,3828,177,518,514,1324,70,243,1997,4844,911,2790,2521,7886,631,866,6119,21722,Lithgow - Mudgee
10304,497,1332,707,1662,99,152,172,4626,440,923,796,1583,114,212,256,4325,418,805,737,1229,79,253,310,3821,322,684,742,1113,81,277,1065,4282,2065,5314,3670,8348,631,1086,2251,23355,0,0,0,3,0,0,205,206,0,0,0,9,0,0,188,198,0,7,6,6,0,0,403,425,3,3,5,14,0,0,425,457,0,3,5,16,0,3,478,513,4,8,3,5,3,0,368,393,0,5,4,12,0,0,617,644,10,29,27,74,7,8,2681,2832,0,0,15,180,56,21,435,714,20,260,112,818,99,71,274,1653,367,1348,603,1974,132,124,586,5135,506,1347,745,1750,115,168,618,5254,451,946,831,1667,122,225,764,5002,421,817,750,1258,80,261,686,4286,323,692,750,1130,81,284,1709,4963,2094,5413,3812,8777,686,1154,5072,27003,Orange
10401,187,620,422,1309,95,121,233,2977,207,498,583,1610,110,193,309,3514,282,727,742,1729,114,278,450,4316,248,621,718,1812,95,354,1417,5255,1017,3017,2822,8142,608,1100,2842,19547,0,0,0,0,0,0,186,182,0,0,3,4,0,0,135,137,0,0,0,9,0,0,248,262,0,11,7,8,0,5,330,362,0,5,5,8,0,0,396,414,4,4,7,21,0,0,527,566,8,0,11,26,0,0,814,856,14,18,34,84,3,3,2631,2786,0,0,8,115,54,25,416,622,3,88,78,542,80,48,243,1089,98,481,318,1206,93,105,491,2795,195,645,443,1403,102,133,612,3531,221,506,623,1689,118,206,745,4102,297,747,774,1798,118,288,997,5016,250,629,740,1850,102,361,2255,6191,1066,3099,2980,8615,657,1157,5759,23335,Clarence Valley
10402,484,1784,1057,2097,151,216,264,6049,597,1465,1378,2627,164,320,407,6963,694,1600,1428,2645,212,434,526,7544,591,1283,1378,2634,140,527,2075,8621,2682,7846,6214,13082,1101,1734,3841,36501,0,0,0,0,0,0,245,249,0,3,3,8,0,3,265,281,0,4,7,14,0,0,529,562,0,11,3,18,0,0,524,555,3,12,5,18,3,3,671,709,7,17,13,20,0,5,794,852,0,15,11,23,0,0,1190,1246,14,51,44,98,7,16,4229,4456,0,0,18,220,109,24,504,884,18,280,200,911,162,78,387,2039,307,1489,821,2223,206,158,815,6010,496,1820,1110,2220,168,230,805,6855,607,1514,1422,2745,174,325,1122,7911,714,1651,1469,2734,212,441,1355,8578,589,1309,1399,2680,143,535,3300,9962,2735,8062,6435,13735,1182,1791,8295,42245,Coffs Harbour
10501,70,272,186,390,37,37,77,1068,75,189,221,454,43,60,95,1134,50,139,174,441,28,50,150,1033,25,123,129,343,14,53,401,1092,318,1227,925,2347,188,264,860,6119,0,0,0,0,0,0,107,110,0,0,0,3,0,0,147,150,0,8,3,7,0,0,344,364,0,6,5,11,0,3,298,322,4,6,4,8,0,3,392,408,0,3,3,8,0,0,363,380,0,0,3,9,0,0,473,483,5,17,14,44,0,6,2119,2211,0,0,0,54,11,9,248,330,3,79,46,258,44,26,237,696,99,453,215,631,69,44,503,2001,73,298,215,517,47,55,447,1654,85,221,267,537,61,73,576,1824,56,164,190,511,34,60,579,1592,25,128,139,366,19,58,945,1682,343,1345,1079,2867,292,322,3537,9780,Bourke - Cobar - Coonamble
10502,79,181,172,469,40,34,84,1064,82,170,197,563,39,57,115,1217,82,180,188,566,38,91,150,1302,37,109,127,495,24,62,658,1509,379,942,833,2920,230,299,1181,6783,0,0,0,0,0,0,44,44,0,0,0,0,0,0,74,77,0,0,0,3,0,3,179,191,0,6,3,6,0,0,144,155,0,0,0,4,0,4,189,197,0,0,3,9,0,3,187,203,0,0,0,10,0,0,285,305,4,7,8,37,0,4,1102,1173,0,0,4,40,24,14,139,220,3,72,25,249,27,12,135,519,96,254,152,637,44,43,356,1575,87,192,184,517,48,41,279,1350,80,179,214,592,43,62,351,1531,89,188,203,595,38,96,363,1570,38,112,132,517,27,66,963,1855,393,989,911,3151,257,323,2583,8611,Broken Hill and Far West
10503,391,1174,601,1714,116,143,255,4398,324,855,770,1825,142,210,345,4470,334,704,743,1557,111,245,448,4149,170,568,614,1440,77,261,1351,4476,1617,4961,3411,9345,700,1036,2972,24041,0,0,0,0,0,0,247,247,0,0,0,5,0,0,282,289,0,7,3,17,0,0,616,646,0,12,3,21,3,7,553,603,4,3,3,23,10,0,648,690,0,9,9,20,3,4,703,750,0,10,6,15,0,6,1009,1049,6,45,28,106,18,11,4054,4275,0,0,26,180,56,25,532,823,22,255,165,993,122,63,528,2138,387,1495,620,2205,169,130,1147,6168,402,1231,690,1969,149,184,943,5568,337,899,852,2047,178,236,1088,5637,347,747,804,1685,127,262,1227,5202,171,580,634,1501,75,274,2459,5702,1664,5209,3784,10584,887,1180,7915,31231,Dubbo
10601,305,966,929,3161,208,219,487,6269,317,750,1017,3090,176,347,486,6178,359,839,890,2371,121,310,585,5473,233,702,711,1895,67,327,1385,5315,1485,4461,4542,15452,1090,1500,3889,32421,0,0,0,3,0,0,285,286,0,0,3,8,0,0,289,301,0,0,3,14,9,0,684,715,3,8,5,22,3,4,608,644,0,4,12,22,3,3,681,729,0,4,6,22,0,3,702,742,0,3,4,20,0,3,1051,1088,4,27,34,119,9,13,4302,4510,0,0,29,225,106,27,630,1018,6,206,203,1473,168,103,578,2745,270,1027,824,3600,302,212,1268,7499,312,994,989,3354,220,236,1175,7277,321,781,1065,3257,183,361,1233,7203,364,863,937,2486,126,323,1317,6415,230,712,722,1953,71,334,2477,6499,1514,4588,4770,16341,1182,1597,8669,38658,Lower Hunter
10602,475,1403,1144,2675,150,180,225,6254,474,918,1082,2353,115,256,283,5481,430,771,858,1699,122,278,361,4504,235,595,607,1539,65,269,1084,4396,1982,5419,4942,12785,859,1223,2407,29610,0,0,0,0,0,0,156,158,0,0,0,3,0,0,161,164,0,3,0,19,4,0,447,477,0,4,5,22,5,0,409,443,0,7,0,12,0,0,405,425,0,3,8,8,0,3,349,370,0,3,5,15,0,0,519,535,3,23,24,76,7,4,2437,2569,4,3,30,244,82,18,315,692,20,288,266,1205,161,82,271,2294,362,1495,1018,3388,204,157,699,7315,480,1434,1190,2797,163,197,653,6913,480,936,1117,2452,124,265,698,6079,434,795,876,1752,128,293,722,4995,238,603,621,1563,65,275,1631,5002,2024,5550,5114,13402,924,1284,4993,33289,Maitland
10603,320,971,908,2236,132,168,193,4924,355,747,1063,2566,131,255,309,5429,405,911,1101,2207,131,350,474,5572,409,1066,1280,2848,124,593,1706,8032,1690,4620,5134,12769,832,1553,3130,29728,0,0,0,5,0,0,210,216,0,0,0,9,0,0,237,247,0,4,6,8,0,0,456,479,3,7,4,20,3,0,452,487,3,5,3,21,0,0,560,592,3,3,3,13,0,0,584,612,0,6,10,25,0,4,1279,1325,13,28,32,101,5,10,3777,3957,0,0,34,180,81,26,429,745,12,199,187,889,117,56,343,1800,188,760,606,2081,163,136,641,4574,327,995,944,2354,145,176,663,5597,367,776,1109,2670,143,269,892,6220,423,922,1123,2283,138,358,1077,6322,415,1079,1296,2899,131,605,3006,9430,1727,4736,5289,13351,906,1626,7052,34690,Port Stephens
10604,116,367,339,960,71,67,205,2121,101,290,332,1017,67,112,185,2110,110,228,278,711,40,75,234,1676,54,204,224,537,13,99,505,1641,471,1621,1479,4864,331,468,1487,10731,0,0,0,0,0,0,114,113,0,0,0,3,3,0,97,105,0,0,0,11,0,0,257,269,0,0,4,7,0,0,250,263,0,0,0,3,0,0,282,288,3,3,4,6,0,0,250,266,0,0,3,12,0,0,346,366,3,5,14,44,3,3,1595,1675,0,0,3,62,27,12,233,331,7,77,60,471,56,19,168,864,82,463,263,1255,82,82,474,2705,117,381,357,1014,75,73,469,2485,106,303,350,1069,70,121,486,2507,119,239,288,742,43,76,493,1991,56,204,228,552,13,100,867,2031,484,1667,1542,5175,366,484,3189,12912,Upper Hunter
10701,493,1146,1112,2296,163,274,312,5794,408,805,1046,2372,152,313,399,5490,391,709,788,2000,110,324,485,4807,217,477,578,1872,74,312,1531,5051,1974,4781,4766,12259,842,1462,3293,29390,0,0,0,0,0,0,156,162,0,5,3,10,0,0,171,192,0,8,6,15,0,0,320,344,0,7,4,22,0,3,324,362,3,3,8,19,0,0,372,404,6,6,7,12,0,0,383,418,0,7,3,23,0,9,798,837,12,30,33,95,3,8,2527,2716,3,7,32,199,62,30,366,699,39,418,315,1123,125,77,313,2413,436,1268,967,2620,182,145,603,6218,503,1171,1139,2371,168,284,650,6288,421,821,1084,2442,156,322,791,6029,399,713,812,2038,111,328,884,5295,218,486,583,1898,78,323,2354,5933,2005,4887,4930,12684,885,1526,5964,32885,Dapto - Port Kembla
11203,572,1785,1186,2493,156,231,268,6697,556,1368,1403,2701,141,323,429,6930,644,1349,1397,2748,160,442,631,7373,516,1310,1440,3306,114,585,2787,10052,2619,7331,6503,14260,835,1854,4698,38101,0,0,0,5,0,0,238,248,0,3,0,3,0,0,223,230,0,8,4,11,0,0,498,521,0,3,8,17,0,0,594,626,0,0,13,30,0,0,713,756,7,4,4,19,0,3,897,934,5,7,13,22,3,4,1501,1559,18,28,44,111,4,14,4665,4879,0,0,29,235,57,27,505,858,26,247,208,816,84,70,362,1817,322,1333,892,2192,144,191,735,5803,579,1832,1237,2615,162,252,888,7561,573,1416,1459,2814,149,337,1169,7924,662,1376,1427,2834,159,454,1554,8468,524,1327,1465,3359,119,597,4322,11712,2679,7529,6727,14867,881,1920,9533,44134,Tweed Valley
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,7,Illawarra Catchment Reserve
10703,625,1608,1381,2870,163,260,314,7217,547,1220,1397,3038,166,404,389,7165,698,1236,1247,2544,141,427,551,6853,457,995,1021,2427,109,490,1876,7363,2857,6997,6553,15302,945,1909,3727,38281,0,0,0,0,0,0,212,209,0,3,3,18,0,3,210,231,0,12,3,9,0,8,436,470,7,5,11,20,0,3,460,498,3,10,7,18,3,5,538,585,3,9,9,13,0,3,535,567,0,3,6,21,3,6,932,977,14,40,41,98,3,22,3325,3545,3,3,47,273,79,50,451,912,47,433,400,1313,138,105,369,2803,499,1544,1138,3056,168,199,688,7297,629,1636,1434,2976,178,269,795,7921,561,1248,1445,3112,176,412,949,7904,709,1262,1279,2599,147,436,1104,7534,461,1003,1037,2470,112,495,2823,8396,2910,7128,6776,15800,995,1973,7173,42753,Kiama - Shellharbour
10704,2194,3946,2028,3134,206,340,412,12258,1778,2675,2126,3418,202,484,522,11209,1674,2133,1714,2655,187,545,635,9529,1107,1672,1521,3058,143,716,1948,10164,9128,16939,9865,17314,1166,2460,4359,61231,0,0,0,0,0,0,289,292,0,7,0,8,0,0,536,550,3,19,3,16,0,3,885,926,3,13,5,14,0,6,627,673,5,16,5,14,7,0,681,728,4,4,12,19,0,6,688,735,5,6,14,26,0,7,1271,1328,17,66,37,106,11,18,4981,5234,5,4,68,302,89,37,559,1071,164,1784,698,1577,186,127,760,5300,2228,4830,1762,3363,183,216,1285,13876,2215,3988,2074,3215,214,356,1054,13116,1813,2713,2174,3503,213,495,1218,12135,1685,2153,1749,2715,187,554,1339,10380,1123,1688,1540,3093,143,730,3233,11541,9234,17162,10067,17780,1210,2519,9446,67416,Wollongong
10801,92,330,278,757,63,81,86,1677,125,304,387,987,70,107,169,2151,190,403,457,1076,82,172,267,2637,192,499,647,1606,86,295,1103,4433,649,1841,1997,5277,372,721,1836,12685,0,0,0,0,0,0,83,84,0,0,0,0,0,0,56,56,0,0,0,5,0,3,131,139,0,5,0,3,0,0,166,177,0,0,0,8,0,0,212,228,0,0,4,14,0,0,284,307,0,7,3,25,0,3,746,784,3,12,12,61,0,13,1684,1778,0,0,7,78,16,7,194,306,5,52,41,254,27,23,102,507,51,257,193,603,48,41,213,1414,91,338,288,805,59,86,258,1933,124,309,409,1035,78,117,397,2464,197,410,476,1106,82,176,560,3005,194,516,660,1649,86,300,1878,5279,664,1881,2075,5526,399,750,3604,14905,Great Lakes
10802,115,463,351,1113,97,109,234,2478,174,445,506,1477,94,178,314,3187,252,677,729,1684,112,259,452,4161,206,624,628,1771,88,316,1438,5070,855,2657,2521,7547,586,984,2964,18111,0,0,0,0,0,0,164,172,0,0,0,6,0,0,129,142,0,0,0,13,0,0,255,273,0,11,0,15,0,0,271,305,0,8,9,20,0,0,457,495,0,6,6,18,3,0,525,563,0,4,3,22,0,3,908,936,0,30,15,103,11,3,2718,2883,0,0,4,130,49,16,425,622,3,74,73,465,79,36,312,1039,103,393,251,1140,110,97,658,2750,118,483,384,1242,120,123,596,3076,179,475,561,1563,107,200,832,3919,259,697,773,1773,122,270,1035,4922,212,633,642,1819,91,324,2394,6114,867,2765,2686,8126,685,1069,6244,22445,Kempsey - Nambucca
10803,3,12,10,19,3,0,0,42,0,5,3,16,0,3,0,33,4,15,3,12,0,3,4,32,0,3,9,6,0,3,15,41,8,41,23,79,4,9,19,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,11,0,0,0,0,0,0,3,5,0,0,0,0,0,0,7,9,0,0,0,0,0,0,3,3,0,0,0,0,0,0,31,28,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,11,3,17,0,0,4,42,3,12,10,19,3,0,6,54,0,5,3,16,0,6,4,36,4,15,3,12,0,3,7,44,0,3,9,6,0,3,16,42,8,41,29,77,4,16,47,223,Lord Howe Island
