lga_name_2016,lga_code_2016,neg_nil_inc_hh_with_ind_psns,neg_nil_inc_other_households,neg_nil_income_tot_hhlds,hi1_149_hhd_with_indig_psns,hi1_149_other_households,hi1_149_tot_hhlds,hi150_299_hhd_with_indig_psns,hi150_299_other_households,hi150_299_tot_hhlds,hi300_399_hhd_with_indig_psns,hi300_399_other_households,hi300_399_tot_hhlds,hi400_499_hhd_with_indig_psns,hi400_499_other_households,hi400_499_tot_hhlds,hi500_649_hhd_with_indig_psns,hi500_649_other_households,hi500_649_tot_hhlds,hi650_799_hhd_with_indig_psns,hi650_799_other_households,hi650_799_tot_hhlds,hi800_999_hh_with_indig_psn,hi800_999_other_households,hi800_999_tot_hhlds,hi1000_1249_hh_with_indig_psn,hi1000_1249_other_households,hi1000_1249_tot_hhlds,hi1250_1499_hh_with_indig_psn,hi1250_1499_other_households,hi1250_1499_tot_hhlds,hi1500_1999_hh_with_indig_psn,hi1500_1999_other_households,hi1500_1999_tot_hhlds,hi2000_2499_hh_with_indig_psn,hi2000_2499_other_households,hi2000_2499_tot_hhlds,hi2500_2999_hh_with_indig_psn,hi2500_2999_other_households,hi2500_2999_tot_hhlds,hi3000_more_hh_with_indig_psn,hi3000_more_other_households,hi3000_more_tot_hhlds,part_inc_st_hh_with_indig_psn,partial_inc_stated_other_hhds,partial_inc_stated_tot_hhlds,all_inc_ns_hh_with_ind_psns,all_income_ns_other_household,all_inc_ns_tot_hhlds,tot_household_with_indig_psns,tot_other_households,tot_tot_hhlds
Albury (C),10050,9,208,220,13,137,145,37,457,497,45,715,757,59,1544,1598,41,1066,1105,63,1611,1680,52,1517,1563,49,1651,1704,58,1535,1592,68,2128,2199,45,1804,1849,28,1046,1070,31,1656,1687,41,1242,1280,31,523,554,662,18836,19495
Armidale Regional (A),10130,11,125,134,6,71,78,39,248,284,44,323,367,60,748,805,67,533,596,73,844,923,74,724,798,75,808,884,66,725,785,101,1101,1203,47,900,943,26,477,504,23,874,895,67,698,765,57,245,299,831,9443,10276
Ballina (A),10250,5,137,141,7,87,88,20,295,312,17,528,547,31,1383,1418,32,907,946,69,1536,1602,38,1223,1262,72,1509,1578,54,1217,1271,75,1706,1789,48,1406,1452,25,748,775,52,1377,1424,57,1060,1118,24,461,488,639,15586,16220
Balranald (A),10300,4,12,14,0,4,5,5,11,17,3,31,34,3,50,55,0,34,33,8,57,65,4,57,58,7,63,71,7,58,69,12,100,109,3,61,64,3,37,41,0,38,42,4,79,86,6,39,39,74,728,807
Bathurst Regional (A),10470,12,139,154,13,84,94,25,312,340,34,397,429,52,1067,1115,64,693,757,84,1014,1094,82,934,1020,79,1125,1201,72,1078,1152,97,1596,1694,72,1360,1432,39,889,928,71,1495,1565,81,971,1054,35,343,377,909,13495,14411
Bega Valley (A),10550,12,139,150,8,132,141,17,326,344,20,519,541,35,1429,1465,29,757,791,53,1334,1390,31,1116,1149,43,1296,1336,36,1057,1102,46,1179,1225,41,946,984,15,466,482,20,676,695,41,985,1033,18,379,399,475,12749,13222
Bellingen (A),10600,0,57,56,0,35,38,4,138,144,3,206,205,21,493,512,15,315,326,20,492,507,17,409,428,24,500,521,16,364,374,24,493,518,22,337,359,7,172,182,14,239,255,15,371,388,3,147,151,201,4767,4970
Berrigan (A),10650,0,42,42,0,29,29,5,107,116,4,126,131,9,357,363,4,186,190,13,345,363,4,245,250,9,316,324,10,213,226,16,315,325,5,236,245,0,114,120,6,158,166,8,208,216,4,148,155,106,3154,3265
Blacktown (C),10750,59,1266,1324,31,520,552,126,1628,1754,151,2253,2410,221,4479,4701,243,3044,3288,330,5558,5889,286,5429,5715,306,6993,7297,287,7046,7336,417,12420,12830,353,12642,12992,233,8442,8678,446,16150,16594,319,7265,7586,180,1985,2168,3978,97129,101107
Bland (A),10800,4,29,30,0,12,12,3,52,54,6,96,97,5,184,190,6,106,114,8,190,192,16,151,163,18,216,230,11,133,144,12,219,232,6,157,163,4,81,83,6,181,185,10,165,172,10,101,105,117,2067,2185
Blayney (A),10850,3,26,29,0,17,18,3,82,85,3,97,98,8,209,215,10,132,137,11,202,213,7,177,187,5,210,214,13,181,194,15,271,294,13,249,257,6,146,148,9,264,273,11,187,195,7,85,90,120,2537,2656
Blue Mountains (C),10900,6,276,285,3,155,154,11,469,487,20,698,718,41,1890,1936,45,1327,1376,48,1935,1983,46,1897,1943,70,2263,2330,67,1991,2052,107,3245,3354,90,2961,3055,69,2027,2091,145,4099,4242,58,1973,2034,18,579,591,843,27790,28630
Bogan (A),10950,3,6,11,0,3,3,4,21,26,4,36,42,17,80,99,13,19,35,15,60,74,15,62,76,16,51,62,7,41,50,13,84,97,15,80,92,9,35,42,8,86,97,17,81,103,3,41,48,177,793,967
Botany Bay (C),11100,8,432,437,0,132,136,14,335,352,13,518,533,24,935,957,20,551,572,23,887,906,27,818,849,20,1120,1145,23,1006,1028,51,1754,1804,59,1699,1752,22,1171,1194,74,3005,3070,32,1272,1303,9,372,379,409,16011,16421
Bourke (A),11150,3,13,10,0,4,4,12,11,24,12,7,23,19,43,59,11,15,27,23,40,63,24,46,70,25,41,66,28,32,58,35,58,87,24,53,72,14,33,49,17,55,75,40,50,88,32,29,60,300,529,831
Brewarrina (A),11200,3,6,7,7,0,8,20,4,29,32,8,40,38,20,56,24,9,33,32,7,42,37,10,50,26,16,33,18,21,40,20,31,52,9,19,30,6,6,13,9,16,24,29,27,56,22,14,39,339,215,553
Broken Hill (C),11250,5,56,60,6,35,47,17,208,228,34,342,378,55,807,861,44,398,446,47,651,702,57,473,526,45,535,578,36,411,443,79,622,702,44,475,520,21,282,308,51,466,515,55,457,508,20,331,354,629,6556,7184
Hilltops (A),13910,12,84,95,3,75,76,7,174,178,20,256,275,34,743,774,22,399,420,51,724,776,35,574,610,32,601,638,31,493,524,44,730,774,24,462,485,7,242,249,12,386,400,32,489,521,16,260,274,384,6690,7075
Hornsby (A),14000,11,535,546,0,299,299,3,581,588,7,723,731,8,1810,1819,11,1396,1405,13,2046,2060,17,2111,2124,16,2817,2834,18,2721,2741,42,4749,4787,36,5131,5166,30,3770,3798,87,13378,13458,23,3938,3964,6,679,689,322,46690,47010
Hunters Hill (A),14100,0,102,102,0,28,28,0,74,74,0,109,109,0,185,185,0,109,110,3,171,173,0,171,171,0,209,209,0,183,190,3,335,338,3,368,373,3,240,246,7,1753,1765,6,426,431,0,78,79,25,4549,4573
Inner West (A),14170,14,1023,1041,15,445,461,42,1100,1141,55,1496,1549,59,2752,2808,54,1894,1948,55,2867,2923,43,3029,3070,73,4123,4189,62,3945,4007,102,7262,7365,116,7669,7787,84,4661,4744,214,19273,19484,84,5163,5248,29,1002,1030,1091,67711,68796
Inverell (A),14200,8,84,88,6,48,52,36,144,184,24,242,265,55,609,662,42,318,358,71,623,691,63,501,562,52,490,542,46,444,493,60,540,603,24,398,419,9,208,221,23,283,306,38,389,422,30,222,251,575,5546,6113
Junee (A),14300,0,28,26,0,12,12,3,45,45,6,67,78,11,166,177,5,82,90,11,185,195,7,131,137,11,154,167,10,150,156,20,177,195,8,168,178,4,96,99,6,153,160,14,128,139,0,56,57,115,1808,1922
Kempsey (A),14350,11,104,115,19,74,95,51,259,309,62,422,480,90,1105,1193,104,648,750,128,1192,1321,103,891,996,105,902,1011,93,676,770,103,898,1002,81,599,679,28,294,324,50,375,421,105,632,739,70,383,452,1203,9452,10651
Kiama (A),14400,0,72,73,0,40,41,3,93,100,4,172,176,0,476,485,7,346,355,8,518,521,15,527,540,16,619,631,6,513,523,33,865,893,18,757,780,26,504,530,33,1228,1267,17,646,671,0,147,151,196,7525,7719
Ku-ring-gai (A),14500,3,674,677,0,256,254,4,376,384,0,383,383,0,960,961,0,931,935,3,1169,1173,0,1395,1395,4,1865,1868,4,1783,1787,4,3216,3223,17,3388,3403,3,2353,2358,51,15357,15405,10,3704,3712,0,548,551,110,38365,38476
Kyogle (A),14550,0,52,57,3,36,36,7,157,158,9,207,212,21,423,445,21,200,224,18,394,415,27,304,324,25,334,357,14,258,272,14,273,288,3,180,184,0,93,96,4,137,143,12,210,225,8,86,94,175,3348,3525
Lachlan (A),14600,6,36,38,3,12,17,9,55,72,27,77,110,24,159,182,34,108,142,42,163,210,34,127,165,36,180,217,23,132,152,36,181,219,37,156,189,15,65,83,14,119,132,41,137,179,24,86,107,418,1790,2206
Lake Macquarie (C),14650,43,688,731,40,395,434,85,1260,1341,128,2146,2272,194,5788,5983,219,3144,3359,292,6005,6297,300,4816,5115,348,5801,6149,285,5054,5337,451,7683,8132,386,6986,7374,245,4630,4874,385,8270,8652,306,4923,5230,82,1708,1797,3777,69299,73075
Lane Cove (A),14700,0,179,179,0,82,82,0,136,136,0,201,201,3,375,383,0,312,312,0,409,409,0,503,498,4,666,674,4,668,674,3,1340,1342,7,1651,1653,7,907,913,24,4789,4816,0,1037,1036,3,218,220,56,13478,13534
Leeton (A),14750,6,40,48,0,25,29,14,87,95,11,129,147,17,295,306,18,163,182,27,323,347,17,286,308,29,337,358,25,288,316,22,434,459,32,378,409,19,187,202,8,258,270,23,231,252,13,139,152,270,3596,3868
Lismore (C),14850,15,155,165,10,110,120,35,434,469,53,609,655,65,1521,1583,73,966,1040,94,1422,1514,82,1284,1367,84,1516,1602,74,1235,1303,104,1745,1847,71,1252,1327,35,653,686,64,946,1009,91,1016,1116,33,352,392,983,15212,16195
Lithgow (C),14870,15,95,113,5,74,80,19,254,279,30,377,403,45,842,883,33,410,439,60,742,798,40,532,571,62,596,652,35,461,499,65,652,717,35,583,617,15,319,330,42,628,673,38,474,508,22,274,297,547,7311,7862
Liverpool (C),14900,17,889,906,12,426,436,50,1150,1200,45,1559,1608,71,3017,3091,67,2015,2081,110,3623,3735,88,3580,3662,105,4447,4558,91,4175,4268,129,7011,7147,130,6479,6613,85,4457,4548,147,8579,8726,111,4691,4807,48,1357,1407,1325,57461,58786
Liverpool Plains (A),14920,3,38,39,3,19,20,9,69,77,23,127,155,28,235,269,35,138,171,41,260,299,45,174,219,50,235,281,35,184,220,43,257,299,34,195,230,8,105,116,11,164,176,33,187,216,20,103,122,418,2496,2916
Lockhart (A),14950,0,17,17,0,10,8,0,30,27,0,44,43,3,110,112,6,47,56,6,82,86,5,94,96,4,87,97,4,93,99,0,127,122,0,86,82,3,49,48,3,85,83,3,97,105,3,27,30,54,1080,1129
Maitland (C),15050,25,227,250,12,143,159,42,416,465,64,701,763,92,1772,1867,80,1110,1184,144,2020,2165,128,1778,1909,160,2061,2218,141,1917,2055,264,3115,3380,203,2835,3036,117,1824,1938,174,3109,3282,135,1893,2023,53,633,689,1835,25540,27374
Mid-Coast (A),15240,36,440,477,28,345,378,86,913,991,111,1422,1528,209,4111,4325,170,2203,2371,295,4396,4690,215,3124,3343,248,3298,3544,206,2509,2716,251,2998,3251,152,1970,2120,57,1088,1145,89,1469,1558,192,2241,2437,104,1253,1358,2449,33781,36233
Mid-Western Regional (A),15270,4,117,121,10,80,87,15,203,216,16,310,328,42,849,890,32,415,449,58,750,809,39,584,622,60,652,704,57,529,588,72,787,859,52,722,774,27,429,460,54,824,881,54,614,665,23,295,317,599,8168,8768
Moree Plains (A),15300,14,51,63,13,31,45,75,73,142,58,93,152,83,228,317,65,135,200,91,261,352,75,231,306,81,303,386,74,294,369,90,431,523,53,379,431,25,188,215,37,366,399,101,288,394,79,166,244,1020,3522,4545
Mosman (A),15350,0,152,153,0,55,55,0,110,112,5,167,172,0,299,299,0,255,253,0,291,291,4,430,435,3,522,527,0,531,531,0,991,996,0,1070,1068,3,515,519,13,4406,4418,3,998,1005,0,176,177,40,10986,11022
Murray River (A),15520,3,71,73,0,38,38,10,110,115,12,148,156,19,419,436,9,247,253,14,420,437,12,341,351,16,419,433,13,322,337,16,440,457,15,357,373,12,209,216,4,262,269,14,311,320,7,195,201,173,4293,4470
Murrumbidgee (A),15560,0,14,14,0,5,13,6,19,24,4,39,44,9,86,95,9,68,77,8,102,107,12,100,111,6,122,132,9,100,113,18,150,173,17,108,117,3,65,68,9,72,79,15,113,132,10,55,64,134,1227,1361
Muswellbrook (A),15650,7,67,75,11,49,60,28,121,144,19,173,200,26,380,405,38,235,276,53,380,425,51,347,398,50,387,441,28,348,374,54,577,633,68,576,645,33,329,363,49,649,700,45,379,424,20,175,197,589,5171,5764
Nambucca (A),15700,6,94,97,3,81,82,20,242,263,29,378,408,43,918,962,42,465,508,76,918,993,59,639,702,55,643,702,44,525,573,54,581,637,31,407,434,22,198,215,19,285,303,62,449,515,28,260,291,594,7083,7684
Narrabri (A),15750,8,60,69,9,26,34,28,96,123,38,131,174,53,328,383,34,175,209,54,289,340,53,267,320,70,323,394,41,297,339,75,479,554,55,396,445,22,226,251,39,402,440,58,304,365,32,158,194,668,3958,4625
Narrandera (A),15800,0,30,30,0,13,13,7,45,54,22,83,105,18,215,237,20,111,133,19,177,198,23,136,156,20,170,189,20,170,187,29,172,201,16,162,183,5,77,86,8,112,120,21,143,168,6,90,93,248,1902,2148
Narromine (A),15850,8,23,33,6,28,29,21,44,59,24,67,89,33,170,198,44,100,142,45,174,219,47,126,170,46,139,184,44,127,167,54,185,243,48,142,194,17,92,106,22,138,159,47,162,207,27,85,105,524,1796,2318
Newcastle (C),15900,35,715,744,29,332,357,97,1332,1431,135,2053,2185,167,4357,4522,174,2626,2801,210,4114,4327,207,3779,3985,212,4510,4716,231,4126,4362,347,6469,6821,293,5847,6143,159,3767,3926,255,7696,7947,217,4126,4346,61,1314,1374,2823,57151,59974
North Sydney (A),15950,4,449,445,0,175,175,0,318,318,5,457,459,3,795,804,3,681,684,8,864,871,4,1052,1057,7,1464,1468,6,1574,1579,16,3114,3127,18,3873,3885,18,1795,1807,40,10861,10902,17,2044,2061,0,417,418,141,29924,30068
Northern Beaches (A),15990,3,950,955,8,451,463,12,1016,1031,16,1451,1466,14,3399,3419,19,2566,2582,22,3449,3473,31,3780,3807,27,5229,5254,31,4772,4806,81,8577,8666,86,9161,9247,83,6423,6501,222,26553,26771,72,7755,7824,19,1641,1662,743,87197,87940
Oberon (A),16100,0,25,27,0,22,21,3,44,48,0,51,57,4,156,164,3,72,72,8,150,160,5,105,116,8,164,173,10,146,155,11,233,245,4,171,179,0,83,84,4,151,157,12,152,165,4,59,67,86,1793,1875
Orange (C),16150,17,154,173,17,117,128,42,307,343,37,509,543,58,1079,1137,69,658,724,80,1057,1136,84,911,992,106,1175,1278,93,998,1088,111,1596,1701,107,1381,1484,47,845,893,83,1609,1691,96,913,1007,42,368,409,1067,13670,14735
Parkes (A),16200,9,66,77,11,44,50,22,116,140,32,220,246,61,474,534,51,227,280,52,405,458,57,336,397,43,368,411,47,321,374,69,499,570,40,426,469,19,242,258,23,371,397,56,374,431,26,180,204,634,4666,5294
Parramatta (C),16260,5,1518,1523,14,532,546,33,1307,1337,29,1656,1684,36,3255,3289,19,2423,2449,32,3799,3833,48,3970,4018,51,5453,5498,46,5365,5414,86,9629,9709,65,9607,9677,57,5986,6046,126,14193,14315,59,5266,5325,22,1148,1170,734,75089,75819
Burwood (A),11300,5,555,556,0,149,149,5,228,235,3,331,333,0,556,555,0,433,433,3,674,676,0,639,637,4,868,873,0,766,771,7,1305,1311,9,1243,1250,3,835,837,16,2173,2190,6,928,941,0,196,203,75,11880,11957
Byron (A),11350,3,118,120,4,95,101,6,262,270,9,390,398,9,953,964,14,705,717,27,893,915,18,841,865,29,998,1026,21,912,931,48,1144,1189,13,900,915,19,507,531,17,968,990,40,1145,1186,11,250,256,294,11080,11368
Cabonne (A),11400,3,68,65,0,43,43,0,92,98,7,144,150,13,345,358,12,194,211,20,385,408,15,303,318,19,323,345,21,335,355,23,477,499,25,430,453,8,264,274,22,525,548,32,369,397,7,161,168,228,4464,4686
Camden (A),11450,4,208,214,5,101,105,11,223,227,10,305,319,32,850,879,24,544,565,35,1062,1102,19,1050,1075,52,1451,1501,42,1493,1540,100,2985,3086,112,3341,3457,87,2544,2630,194,4974,5174,78,1707,1785,28,399,428,837,23248,24084
Campbelltown (C) (NSW),11500,25,574,602,25,260,286,63,852,917,82,1259,1343,148,2742,2890,163,1901,2061,201,3235,3433,145,3243,3385,197,4080,4283,213,3754,3967,342,6357,6697,267,5571,5837,166,3376,3536,257,5561,5811,210,3531,3746,87,1088,1181,2599,47384,49981
Canada Bay (A),11520,5,912,915,4,239,244,6,488,492,6,647,653,7,1290,1298,4,856,859,5,1367,1377,9,1394,1402,15,1885,1906,18,1751,1768,30,3185,3215,26,3588,3617,21,2215,2235,46,9111,9160,27,2434,2462,3,501,505,232,31868,32102
Canterbury-Bankstown (A),11570,18,2343,2358,7,906,919,50,2865,2911,57,3636,3692,81,7255,7336,61,4874,4933,86,8152,8235,67,7451,7520,97,8849,8946,80,7805,7883,149,11870,12022,134,10201,10336,85,6453,6536,151,12968,13123,96,8440,8529,35,2447,2482,1256,106513,107772
Carrathool (A),11600,0,13,13,0,11,11,6,15,19,3,30,32,8,58,63,6,43,53,9,59,69,8,58,70,15,79,93,14,64,80,8,106,118,11,86,102,0,46,50,3,74,78,20,72,93,4,44,42,110,871,986
Central Coast (C) (NSW),11650,67,1389,1456,32,768,805,125,2165,2292,195,3659,3855,303,9720,10023,316,6103,6420,439,9822,10268,451,8325,8778,522,9413,9935,487,8477,8959,684,12872,13554,596,11155,11744,376,6876,7249,569,12342,12916,521,8458,8977,144,3680,3826,5823,115223,121048
Central Darling (A),11700,3,6,13,3,10,8,9,12,27,8,21,21,21,46,70,9,20,32,24,29,46,30,29,57,25,26,55,16,28,39,16,31,45,17,27,41,7,5,15,6,22,27,29,25,53,16,35,49,232,368,605
Cessnock (C),11720,22,209,229,9,105,107,38,409,447,40,668,706,103,1616,1719,105,867,975,156,1705,1857,135,1354,1486,161,1520,1680,148,1309,1454,200,2019,2221,169,1671,1843,93,940,1037,116,1572,1684,120,1224,1345,64,514,580,1662,17700,19368
Clarence Valley (A),11730,18,211,230,10,179,185,51,495,543,67,733,800,107,2193,2297,99,1198,1298,121,2284,2407,134,1673,1809,139,1713,1848,113,1307,1420,138,1736,1871,93,1164,1257,53,595,652,53,864,920,134,1276,1406,44,610,655,1363,18241,19605
Cobar (A),11750,3,18,19,3,8,11,7,23,32,16,42,61,24,79,108,19,43,60,23,111,133,18,76,96,29,72,104,24,78,103,24,143,174,27,176,201,16,98,114,27,214,238,22,96,124,4,71,75,284,1362,1640
Coffs Harbour (C),11800,24,284,308,15,145,158,64,551,618,52,942,997,107,2308,2413,101,1471,1573,139,2560,2702,133,2191,2320,141,2350,2496,159,2078,2235,170,2782,2948,121,2138,2264,75,1217,1293,113,1883,1989,134,1826,1959,52,719,766,1599,25442,27042
Coolamon (A),12000,0,19,19,0,6,6,4,34,33,0,57,60,3,131,134,3,61,67,10,134,141,8,95,102,3,122,127,3,124,123,8,146,153,5,122,132,6,66,68,5,137,135,3,120,117,4,67,65,58,1429,1491
Coonamble (A),12150,5,17,22,4,5,9,18,33,46,22,47,65,43,93,140,41,50,89,50,72,122,37,65,100,33,87,120,42,64,109,43,90,136,18,66,90,7,37,47,16,61,74,45,70,119,24,51,77,445,924,1370
Cowra (A),12350,5,45,50,6,42,45,19,131,154,24,218,244,32,469,509,30,249,280,52,491,545,54,367,417,45,417,464,28,336,368,40,422,464,21,335,358,9,146,161,21,241,263,22,290,311,22,171,192,438,4384,4823
Cumberland (A),12380,24,1428,1451,9,511,519,38,1547,1584,31,1931,1962,46,3851,3896,39,2650,2686,49,4412,4457,51,4366,4420,59,5311,5371,48,4786,4832,73,7665,7737,67,6751,6812,33,4147,4185,83,7696,7777,66,5297,5365,19,1430,1454,725,63781,64503
Dungog (A),12700,3,32,36,0,27,27,8,76,76,3,86,89,5,257,268,8,149,162,18,303,319,10,206,213,20,271,295,12,233,249,21,354,375,16,290,303,8,158,167,17,316,332,26,239,262,6,68,72,192,3065,3257
Edward River (A),12730,0,57,58,0,33,35,15,80,88,8,134,148,17,302,314,18,159,179,18,284,304,10,258,266,12,306,312,22,241,259,13,331,345,10,284,293,9,137,143,5,233,244,12,226,239,8,135,147,172,3206,3376
Eurobodalla (A),12750,10,175,183,15,125,137,36,356,391,53,580,628,64,1553,1619,61,958,1014,90,1697,1783,88,1327,1416,96,1435,1534,76,1218,1294,78,1309,1378,56,907,958,23,453,482,29,656,680,76,934,1012,32,480,516,874,14157,15032
Fairfield (C),12850,9,1379,1387,3,504,509,25,1571,1596,29,1908,1937,39,3962,4001,47,2518,2567,53,4935,4985,48,4181,4227,50,4789,4845,55,4152,4202,71,6363,6439,47,4982,5028,36,3307,3344,79,5910,5984,66,4725,4793,25,1322,1344,683,56501,57190
Federation (A),12870,3,59,61,3,37,37,0,111,111,9,157,163,3,502,503,3,268,271,16,499,518,7,421,424,16,417,431,10,396,409,8,471,480,7,369,370,7,202,206,5,243,252,11,341,350,6,233,245,106,4734,4843
Forbes (A),12900,3,34,34,3,31,32,23,72,96,19,128,148,34,288,319,30,168,196,45,301,347,31,259,287,47,288,339,43,245,281,35,303,337,38,259,302,14,124,142,16,224,240,41,197,235,26,127,154,454,3048,3496
Georges River (A),12930,0,1152,1159,4,370,374,7,886,901,7,1091,1102,23,2380,2397,10,1690,1702,22,2794,2817,31,2708,2734,35,3640,3676,19,3298,3319,46,5625,5670,51,5442,5488,36,3562,3594,86,8918,9008,33,3810,3845,10,892,901,421,48256,48676
Gilgandra (A),12950,6,17,25,0,16,14,8,24,38,11,57,74,20,142,156,17,68,83,24,153,179,28,106,127,23,144,167,10,97,106,24,127,155,18,96,113,8,50,63,6,89,96,27,101,127,19,48,66,245,1339,1587
Glen Innes Severn (A),13010,0,55,52,3,35,35,11,109,117,21,155,174,25,445,473,19,200,220,32,370,400,34,264,292,17,289,309,13,247,262,19,278,296,7,175,177,8,98,109,5,120,122,18,214,227,13,143,150,240,3188,3427
Goulburn Mulwaree (A),13310,3,106,115,9,108,117,19,234,252,22,413,433,42,942,981,33,532,569,38,868,903,28,803,834,35,877,919,31,794,824,46,1177,1221,48,1008,1054,27,588,619,62,948,1006,44,706,753,14,328,346,503,10439,10945
Greater Hume Shire (A),13340,3,34,39,4,37,39,7,82,83,8,110,114,9,323,334,10,181,185,11,306,323,9,293,298,14,325,338,10,287,304,13,407,421,11,311,320,5,190,194,8,283,285,17,276,287,3,132,131,134,3565,3699
Griffith (C),13450,12,104,116,6,55,63,18,147,158,32,229,266,32,553,586,42,311,351,44,604,647,50,586,633,33,662,696,50,673,719,65,969,1039,55,826,883,21,490,509,23,810,837,26,630,656,24,297,321,536,7944,8487
Gundagai (A),13510,5,58,65,0,37,35,7,108,113,12,166,179,27,465,492,11,237,250,14,467,486,26,348,368,16,376,393,20,288,307,26,384,414,23,294,314,11,147,157,21,242,263,19,330,346,9,156,163,259,4101,4358
Gunnedah (A),13550,11,46,49,12,24,34,18,87,107,30,147,182,44,340,384,52,176,222,48,319,367,57,251,308,60,295,356,55,266,321,71,433,500,46,389,440,30,228,255,36,462,497,51,269,324,42,136,183,661,3869,4527
Gwydir (A),13660,3,42,46,3,22,28,8,61,66,3,87,87,11,212,225,10,89,97,12,214,229,11,146,165,13,173,193,12,141,156,13,155,170,19,130,149,4,46,50,0,88,86,11,135,150,5,85,94,146,1839,1987
Hawkesbury (C),13800,11,222,231,11,124,135,14,320,337,34,451,480,44,1044,1092,40,730,767,64,1161,1224,44,1171,1215,79,1560,1641,81,1425,1505,135,2586,2717,133,2365,2495,93,1681,1769,171,3374,3547,91,1580,1670,24,447,473,1077,20231,21307
Hay (A),13850,3,19,16,3,15,17,3,34,39,0,44,44,6,93,99,3,48,48,5,85,90,3,78,77,4,91,94,7,82,93,4,105,113,3,92,92,7,37,37,3,61,69,8,89,96,7,56,60,79,1017,1097
Penrith (C),16350,37,693,733,19,269,286,70,878,945,88,1308,1393,144,3094,3240,164,2047,2213,190,3640,3831,203,3528,3724,270,4744,5019,260,4531,4792,436,7978,8410,412,7757,8172,284,5026,5311,480,9140,9615,275,4286,4564,84,1342,1424,3415,60247,63667
Port Macquarie-Hastings (A),16380,22,338,355,3,198,201,40,602,633,57,1110,1164,83,2949,3033,103,1789,1890,130,3309,3433,166,2507,2672,132,2738,2867,125,2308,2436,179,2858,3034,148,2297,2443,80,1299,1384,96,2110,2204,107,1889,1993,42,1068,1113,1512,29346,30855
Port Stephens (A),16400,21,289,315,11,168,174,34,463,500,59,740,795,63,2108,2169,71,1254,1327,108,2278,2389,124,1887,2013,148,2202,2349,122,1830,1949,190,2605,2793,141,2152,2288,78,1354,1431,109,2151,2269,132,1826,1956,29,707,732,1452,24001,25452
Queanbeyan-Palerang Regional (A),16490,9,165,170,4,90,92,24,260,288,29,425,450,34,915,944,25,603,629,46,952,1000,44,999,1044,73,1311,1384,56,1235,1290,80,2237,2321,84,2237,2321,57,1476,1534,140,4537,4676,72,1469,1535,17,348,364,797,19231,20023
Randwick (C),16550,9,1725,1737,13,445,458,52,1051,1099,38,1339,1376,64,2178,2249,48,1591,1633,50,1997,2042,59,2176,2244,49,2776,2818,42,2712,2751,87,4872,4963,85,5174,5259,50,3345,3393,159,12957,13115,83,4116,4197,32,1007,1040,918,49455,50374
Richmond Valley (A),16610,9,96,107,0,55,58,27,186,215,34,332,364,44,930,974,34,506,533,66,923,989,53,726,776,74,795,867,65,622,681,64,792,854,43,551,589,29,290,318,29,314,338,52,502,554,41,279,323,652,7896,8549
Rockdale (C),16650,6,868,872,6,308,312,3,705,705,3,934,943,17,2075,2089,12,1362,1374,13,2336,2343,23,2278,2307,22,2802,2823,26,2654,2682,59,4563,4616,58,4479,4542,24,2642,2663,76,5978,6055,33,2898,2928,10,693,699,387,37571,37956
Ryde (C),16700,3,1161,1165,0,347,343,4,733,735,8,908,911,6,1934,1938,3,1291,1292,14,2012,2028,6,2132,2140,21,2813,2839,10,2652,2670,28,4807,4833,33,4718,4744,21,2984,3005,48,9084,9133,18,2864,2879,4,608,615,225,41039,41267
Shellharbour (C),16900,4,244,251,8,134,144,32,395,423,37,726,764,60,1687,1745,54,975,1029,100,2004,2106,80,1525,1606,90,1830,1924,91,1615,1704,158,2672,2829,120,2405,2523,74,1522,1595,119,2491,2613,115,1704,1821,38,521,558,1182,22462,23643
Shoalhaven (C),16950,22,451,469,19,301,317,81,873,957,101,1446,1547,154,3791,3937,153,2125,2280,276,4115,4390,212,3042,3248,208,3350,3561,245,2750,2992,259,3535,3798,191,2559,2749,102,1431,1531,124,2189,2317,188,2553,2744,91,1257,1350,2429,35760,38187
Singleton (A),17000,9,83,88,3,50,53,29,116,142,23,175,200,23,424,450,28,257,286,29,421,448,36,400,433,41,512,550,40,463,501,58,807,871,57,914,973,48,543,592,77,1256,1337,50,606,656,21,141,166,576,7161,7741
Snowy Monaro Regional (A),17040,3,76,84,8,62,70,9,179,190,8,284,290,7,577,585,17,397,411,16,638,653,18,546,568,20,608,633,14,559,577,23,821,845,24,683,707,15,399,414,13,660,677,19,581,597,10,211,224,227,7288,7518
Snowy Valleys (A),17080,3,67,68,7,45,48,15,139,151,22,204,227,21,485,504,21,266,285,24,453,477,28,360,394,19,439,461,22,397,418,34,574,604,27,502,524,7,244,247,13,321,331,21,449,468,11,167,182,290,5104,5388
The Hills Shire (A),17420,0,548,556,0,244,242,0,402,409,3,467,470,9,1309,1323,11,1036,1046,14,1765,1786,17,1845,1857,19,2610,2627,16,2505,2519,33,4599,4628,46,5489,5533,45,4208,4245,131,15595,15728,32,4219,4249,3,612,616,380,47457,47836
Tweed (A),17550,15,431,442,9,264,273,34,712,749,61,1246,1309,87,3303,3390,102,2178,2281,128,3410,3538,136,2713,2849,135,3096,3239,158,2577,2735,206,3484,3691,173,2635,2812,98,1517,1619,107,2314,2425,155,2386,2540,57,1153,1208,1652,33438,35089
