lga_name_2016,lga_code_2016,d_0_4_fpeft_mpeft,d_0_4_fpeft_mpept,d_0_4_fpeft_mpeaw,d_0_4_fpeft_mpehns,d_0_4_fpeft_mpet,d_0_4_fpeft_mpulftw,d_0_4_fpeft_mpulptw,d_0_4_fpeft_mput,d_0_4_fpeft_mptlf,d_0_4_fpeft_mpnlf,d_0_4_fpeft_mplfsns,d_0_4_fpeft_t,d_0_4_fpept_mpeft,d_0_4_fpept_mpept,d_0_4_fpept_mpeaw,d_0_4_fpept_mpehns,d_0_4_fpept_mpet,d_0_4_fpept_mpulftw,d_0_4_fpept_mpulptw,d_0_4_fpept_mput,d_0_4_fpept_mptlf,d_0_4_fpept_mpnlf,d_0_4_fpept_mplfsns,d_0_4_fpept_t,d_0_4_fpeaw_mpeft,d_0_4_fpeaw_mpept,d_0_4_fpeaw_mpeaw,d_0_4_fpeaw_mpehns,d_0_4_fpeaw_mpet,d_0_4_fpeaw_mpulftw,d_0_4_fpeaw_mpulptw,d_0_4_fpeaw_mput,d_0_4_fpeaw_mptlf,d_0_4_fpeaw_mpnlf,d_0_4_fpeaw_mplfsns,d_0_4_fpeaw_t,d_0_4_fphns_mpeft,d_0_4_fphns_mpept,d_0_4_fphns_mpeaw,d_0_4_fphns_mpehns,d_0_4_fphns_mpet,d_0_4_fphns_mpulftw,d_0_4_fphns_mpulptw,d_0_4_fphns_mput,d_0_4_fphns_mptlf,d_0_4_fphns_mpnlf,d_0_4_fphns_mplfsns,d_0_4_fphns_t,d_0_4_fpet_mpeft,d_0_4_fpet_mpept,d_0_4_fpet_mpeaw,d_0_4_fpet_mpehns,d_0_4_fpet_mpet,d_0_4_fpet_mpulftw,d_0_4_fpet_mpulptw,d_0_4_fpet_mput,d_0_4_fpet_mptlf,d_0_4_fpet_mpnlf,d_0_4_fpet_mplfsns,d_0_4_fpet_t,d_0_4_fpulftw_mpeft,d_0_4_fpulftw_mpept,d_0_4_fpulftw_mp_eaw,d_0_4_fpulftw_mp_e_hw_ns,d_0_4_fpulftw_mpet,d_0_4_fpulftw_mpulftw,d_0_4_fpulftw_mpulptw,d_0_4_fpulftw_mput,d_0_4_fpulftw_mptlf,d_0_4_fpulftw_mpnlf,d_0_4_fpulftw_mplfsns,d_0_4_fpulftw_t,d_0_4_fpulptw_mpeft,d_0_4_fpulptw_mpept,d_0_4_fpulptw_mpeaw,d_0_4_fpulptw_mpem_hw_ns,d_0_4_fpulptw_mpet,d_0_4_fpulptw_mpulftw,d_0_4_fpulptw_mpulptw,d_0_4_fpulptw_mput,d_0_4_fpulptw_mptlf,d_0_4_fpulptw_mpnlf,d_0_4_fpulptw_mplfsns,d_0_4_fpulptw_t,d_0_4_fput_mpeft,d_0_4_fput_mpept,d_0_4_fput_mpeaw,d_0_4_fput_mp_e_hns,d_0_4_fput_mpet,d_0_4_fput_mpulftw,d_0_4_fput_mpulptw,d_0_4_fput_mput,d_0_4_fput_mptlf,d_0_4_fput_mpnlf,d_0_4_fput_mplfsns,d_0_4_fput_t,d_0_4_fptlf_mpeft,d_0_4_fptlf_mpept,d_0_4_fptlf_mpeaw,d_0_4_fptlf_mpehns,d_0_4_fptlf_mpet,d_0_4_fptlf_mpulftw,d_0_4_fptlf_mpulptw,d_0_4_fptlf_mput,d_0_4_fptlf_mptlf,d_0_4_fptlf_mpnlf,d_0_4_fptlf_mplfsns,d_0_4_fptlf_t,d_0_4_fpnlf_mpeft,d_0_4_fpnlf_mpept,d_0_4_fpnlf_mpeaw,d_0_4_fpnlf_mp_e_hns,d_0_4_fpnlf_mpet,d_0_4_fpnlf_mpuemplfftw,d_0_4_fpnlf_mpuemplfptw,d_0_4_fpnlf_mput,d_0_4_fpnlf_mptlf,d_0_4_fpnlf_mpnlf,d_0_4_fpnlf_mplfsns,d_0_4_fpnlf_t,d_0_4_fplfsns_mpeft,d_0_4_fplfsns_mpept,d_0_4_fplfsns_mpeaw,d_0_4_fplfsns_mp_e_hns,d_0_4_fplfsns_mpet,d_0_4_fplfsns_mpulftw,d_0_4_fplfsns_mpulptw,d_0_4_fplfsns_mput,d_0_4_fplfsns_mptlf,d_0_4_fplfsns_mpnlf,d_0_4_fplfsns_mplfsns,d_0_4_fplfsns_t,d_0_4_fpt_mpeft,d_0_4_fpt_mpept,d_0_4_fpt_mpeaw,d_0_4_fpt_mpehns,d_0_4_fpt_mpet,d_0_4_fpt_mpulftw,d_0_4_fpt_mpulptw,d_0_4_fpt_mput,d_0_4_fpt_mptlf,d_0_4_fpt_mpnlf,d_0_4_fpt_mplfsns,d_0_4_fpt_t,d_5_9_fpeft_mpeft,d_5_9_fpeft_mpept,d_5_9_fpeft_mpeaw,d_5_9_fpeft_mpehns,d_5_9_fpeft_mpet,d_5_9_fpeft_mpulftw,d_5_9_fpeft_mpulptw,d_5_9_fpeft_mput,d_5_9_fpeft_mptlf,d_5_9_fpeft_mpnlf,d_5_9_fpeft_mplfsns,d_5_9_fpeft_t,d_5_9_fpept_mpeft,d_5_9_fpept_mpept,d_5_9_fpept_mpeaw,d_5_9_fpept_mpehns,d_5_9_fpept_mpet,d_5_9_fpept_mpulftw,d_5_9_fpept_mpulptw,d_5_9_fpept_mput,d_5_9_fpept_mptlf,d_5_9_fpept_mpnlf,d_5_9_fpept_mplfsns,d_5_9_fpept_t,d_5_9_fpeaw_mpeft,d_5_9_fpeaw_mpept,d_5_9_fpeaw_mpeaw,d_5_9_fpeaw_mpehns,d_5_9_fpeaw_mpet,d_5_9_fpeaw_mpulftw,d_5_9_fpeaw_mpulptw,d_5_9_fpeaw_mput,d_5_9_fpeaw_mptlf,d_5_9_fpeaw_mpnlf,d_5_9_fpeaw_mplfsns,d_5_9_fpeaw_t,d_5_9_fphns_mpeft,d_5_9_fphns_mpept,d_5_9_fphns_mpeaw,d_5_9_fphns_mpehns,d_5_9_fphns_mpet,d_5_9_fphns_mpulftw,d_5_9_fphns_mpulptw,d_5_9_fphns_mput,d_5_9_fphns_mptlf,d_5_9_fphns_mpnlf,d_5_9_fphns_mplfsns,d_5_9_fphns_t,d_5_9_fpet_mpeft,d_5_9_fpet_mpept,d_5_9_fpet_mpeaw,d_5_9_fpet_mp_e_hns,d_5_9_fpet_mpet,d_5_9_fpet_mpulftw,d_5_9_fpet_mpulptw,d_5_9_fpet_mput
Albury (C),10050,254,38,5,0,292,4,0,0,297,20,0,319,877,80,16,12,984,9,0,9,991,16,0,1006,191,25,23,0,241,0,0,0,241,0,0,241,13,0,0,7,21,0,0,0,21,0,0,21,1337,139,45,18,1537,11,0,7,1549,39,0,1586,8,6,0,0,18,0,0,0,15,0,0,15,35,9,0,0,41,0,0,0,45,0,0,45,41,11,0,0,53,4,0,4,58,0,0,58,1382,149,45,18,1594,13,0,11,1608,39,0,1641,501,81,6,13,595,30,7,38,634,68,3,702,0,0,0,3,4,0,0,0,4,0,5,5,1887,231,51,31,2192,36,6,47,2238,108,7,2358,417,50,15,3,480,3,3,3,488,39,0,528,859,81,4,7,956,15,0,16,968,19,0,998,33,9,13,0,49,0,0,0,49,0,0,49,11,0,0,8,20,0,0,0,20,3,0,23,1324,141,29,19,1511,15,4,16
Armidale Regional (A),10130,154,21,0,3,176,3,0,3,178,18,0,201,317,39,3,0,358,0,0,0,361,10,0,369,64,8,19,0,82,3,0,3,86,5,0,89,4,0,0,0,4,0,0,0,4,0,0,8,533,66,20,3,622,7,3,7,632,33,0,665,0,0,0,0,3,5,0,5,7,0,0,7,11,0,0,0,9,4,0,4,16,0,0,12,11,3,0,0,9,9,0,9,20,0,0,21,543,68,20,3,638,9,3,16,648,40,0,684,293,61,4,4,364,11,3,15,380,98,0,473,3,0,0,0,3,0,0,0,3,0,3,8,838,133,23,12,1002,24,8,29,1027,135,3,1168,253,26,6,3,282,0,0,3,284,20,0,306,408,47,3,3,457,3,0,3,459,25,0,491,12,3,7,0,29,0,0,0,29,0,0,29,0,0,0,3,5,0,0,0,5,0,0,9,676,73,14,9,774,6,0,7
Ballina (A),10250,160,24,5,0,194,3,0,3,199,12,0,212,526,87,7,0,627,5,4,10,639,9,0,656,92,6,11,4,111,0,0,0,118,3,0,122,0,0,0,8,12,0,0,0,14,3,0,16,783,123,33,9,950,14,4,18,970,26,0,998,6,0,0,0,9,3,0,3,11,0,0,8,15,8,0,0,19,0,0,4,27,0,0,27,16,9,0,0,26,7,0,7,31,0,0,31,800,135,33,9,974,17,9,23,1004,27,0,1031,347,75,16,9,450,16,3,18,469,36,0,507,0,0,0,0,3,0,0,0,3,0,9,10,1152,204,52,24,1429,39,5,42,1471,69,8,1549,326,62,0,3,391,4,4,8,402,12,0,414,597,127,11,5,737,10,0,12,756,23,0,777,26,0,3,0,30,0,0,0,30,0,0,33,3,0,0,20,23,0,0,0,23,3,0,23,953,193,15,24,1192,20,0,20
Balranald (A),10300,9,0,0,0,14,0,0,0,17,0,0,17,38,0,0,0,39,0,0,0,39,0,0,39,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,59,0,0,0,62,0,0,62,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,56,4,0,0,61,3,0,3,64,0,0,64,35,3,0,0,42,0,0,0,46,0,0,42,0,0,0,0,4,0,0,0,4,0,0,0,94,7,0,0,107,5,0,5,106,0,0,109,22,0,0,0,19,0,0,0,19,0,0,19,51,3,0,0,54,0,0,0,54,0,0,60,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,84,0,0,0
Bathurst Regional (A),10470,229,26,5,0,261,0,0,0,264,24,0,289,643,32,13,4,696,3,0,3,699,5,0,712,158,13,11,0,179,3,0,3,181,8,0,186,18,6,0,4,27,0,0,0,27,0,0,24,1044,72,31,16,1165,3,0,3,1169,40,0,1210,4,0,0,0,3,8,0,8,10,0,0,10,24,5,0,0,26,0,0,3,31,0,0,30,29,5,0,0,35,3,0,6,42,0,0,37,1070,83,32,16,1194,7,3,15,1208,42,0,1246,358,51,6,13,432,21,3,29,460,60,0,519,0,0,0,0,0,0,0,0,0,0,3,3,1424,136,42,26,1626,30,4,39,1664,96,3,1771,490,57,6,3,556,8,0,7,564,32,0,597,674,71,11,7,765,5,0,5,765,19,0,783,37,0,7,0,49,0,0,0,49,0,0,50,11,0,3,0,9,3,0,3,14,0,0,16,1217,128,27,8,1380,12,0,12
Bega Valley (A),10550,110,28,0,0,140,3,0,3,141,12,0,152,304,55,9,3,373,3,0,3,374,16,0,387,66,7,8,0,79,0,0,0,79,3,0,82,0,0,3,5,5,0,0,0,5,0,0,5,483,97,17,8,597,8,0,8,605,29,0,633,0,0,0,0,0,0,0,0,4,0,0,4,13,0,0,0,14,0,0,0,13,0,0,13,14,0,0,0,16,4,0,4,19,0,0,19,494,94,17,5,609,11,0,11,618,29,0,651,256,62,5,6,327,11,3,13,343,45,3,393,6,0,0,0,6,0,0,0,6,0,3,9,757,153,21,16,948,21,3,24,966,78,5,1052,231,64,3,0,297,0,4,7,304,21,0,318,412,93,12,3,516,9,4,15,532,32,0,561,15,6,7,0,30,0,0,0,30,0,0,30,8,0,0,7,13,0,0,0,13,0,3,16,669,159,27,11,858,12,3,20
Bellingen (A),10600,25,13,0,0,35,0,0,0,35,3,0,40,103,32,0,4,135,0,0,0,136,9,0,146,17,0,7,0,26,0,0,0,27,0,0,24,3,0,0,0,7,0,0,0,7,0,0,7,143,44,3,3,197,0,0,3,206,10,0,213,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,9,0,0,0,10,0,0,10,12,0,0,0,16,0,0,0,15,0,0,15,160,45,3,3,216,0,4,7,220,10,0,233,107,39,3,3,148,11,4,8,160,38,0,191,0,0,0,0,0,0,0,0,0,0,5,5,259,79,10,6,360,9,6,16,373,51,5,429,74,22,0,0,100,0,0,0,100,7,0,104,156,70,0,0,233,6,0,6,232,15,0,250,8,0,0,0,8,0,4,4,7,0,0,7,3,0,0,0,9,0,0,0,9,0,0,9,243,91,3,3,337,6,4,5
Berrigan (A),10650,39,3,4,0,52,0,0,0,52,5,0,53,126,13,0,0,138,0,0,0,145,6,0,152,21,0,4,0,27,0,0,0,27,0,0,27,3,0,0,0,3,0,0,0,3,0,0,3,189,20,13,0,219,0,0,0,219,15,0,230,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,193,20,13,0,218,3,0,3,225,12,0,237,68,9,3,7,87,3,0,3,89,13,0,104,0,0,0,0,0,0,0,0,0,0,0,0,264,28,11,7,310,3,0,3,315,25,3,336,61,0,0,0,72,0,0,0,68,9,0,76,163,8,3,0,179,0,0,0,175,8,0,185,10,0,3,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,241,8,5,0,258,0,0,5
Blacktown (C),10750,4091,372,39,27,4525,64,10,79,4600,193,7,4799,4431,496,50,54,5025,58,19,80,5099,125,3,5230,1130,115,101,24,1367,13,0,15,1385,27,0,1421,110,13,4,75,202,5,0,5,209,4,10,224,9763,989,192,176,11121,142,27,178,11292,351,17,11666,281,38,3,6,320,22,0,23,344,18,0,367,382,41,3,5,430,28,5,30,460,14,0,480,662,77,7,12,751,51,7,55,807,33,0,844,10422,1065,195,187,11871,197,36,231,12105,386,16,12509,5948,943,121,195,7204,259,64,320,7524,869,34,8425,37,4,0,48,84,0,0,0,84,10,71,162,16403,2012,320,427,19157,451,103,552,19715,1265,125,21098,5228,483,29,43,5795,104,27,128,5925,237,8,6164,4805,573,58,63,5499,71,17,92,5590,164,0,5750,241,29,33,4,311,9,0,10,322,9,0,328,110,21,0,87,229,6,4,10,235,22,5,263,10393,1109,128,199,11826,189,48,239
Bland (A),10800,32,7,0,0,38,0,0,0,38,0,0,38,100,7,0,0,111,0,0,0,111,6,0,110,15,0,3,0,17,0,0,0,17,4,0,24,3,0,0,9,9,0,0,0,9,0,0,9,149,11,3,8,172,0,0,0,172,8,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,17,3,8,174,0,0,0,175,8,0,187,56,9,0,0,68,7,0,5,68,3,0,74,0,0,0,0,0,0,0,0,0,0,0,0,202,27,7,8,243,7,0,5,244,12,0,259,70,8,0,0,79,0,0,0,79,0,0,79,135,15,0,0,151,0,0,0,151,5,0,154,9,0,0,0,10,0,0,0,10,0,0,11,0,0,0,12,12,0,0,0,12,0,0,12,207,19,3,10,241,0,0,0
