LGA_MAIN11,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sinhalese_BP_B_OS,Sinhalese_FO_B_OS,Sinhalese_MO_B_OS,Sinhalese_BP_B_Aus,Sinhalese_BP_NS,Sinhalese_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_Fther_only_brn_os,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_ns_Both_prnts_brn_os,Ancestry_ns_Fthr_only_brn_os,Ancestry_ns_Mthr_only_brn_os,Ancestry_ns_Bth_prnts_brn_Aus,Ancestry_ns_Country_birth_ns,Ancestry_ns_Tot_Resp,Tot_respnses_BP_B_OS,Tot_respnses_FO_B_OS,Tot_respnses_MO_B_OS,Tot_resp_BP_B_Aus,Tot_responses_Count_birth_ns,Tot_responses_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,LGA_NAME11
10050,136,1231,920,16530,604,19421,3,0,0,108,13,124,132,16,19,101,12,280,85,28,14,35,8,170,374,122,63,243,10,812,1801,1178,779,14522,414,18694,214,10,40,3,4,271,38,17,7,98,0,160,457,213,108,2831,68,3677,147,41,15,120,12,335,67,15,8,14,0,104,358,18,15,13,8,412,338,265,148,5526,115,6392,255,133,39,601,18,1046,30,0,0,3,3,36,47,23,10,63,7,150,8,3,0,0,0,11,37,16,0,39,3,95,77,13,17,26,12,145,122,62,67,23,8,282,143,39,14,99,15,310,39,4,5,25,3,76,462,314,204,3961,69,5010,55,5,0,15,0,75,6,0,0,0,0,6,67,0,7,4,4,82,45,7,5,84,8,149,4,4,3,3,0,14,18,0,0,0,0,18,62,28,16,138,3,247,1312,228,138,464,65,2207,112,44,24,871,2025,3076,7051,4077,2685,46563,3511,63887,6047,2492,Albury (C)
10110,67,728,529,8719,234,10277,0,0,3,213,9,225,328,18,10,62,10,428,5,3,3,4,0,15,109,45,39,93,3,289,939,604,437,7221,215,9416,60,3,16,4,4,87,41,15,6,60,0,122,229,63,56,855,27,1230,23,13,0,31,0,67,27,10,3,14,0,54,84,5,4,10,3,106,170,151,87,2703,49,3160,53,24,15,178,6,276,13,0,0,3,0,16,18,4,8,32,0,62,0,0,0,0,0,0,8,5,4,19,0,36,24,8,7,12,0,51,79,37,37,13,0,166,34,9,6,32,0,81,32,3,3,16,3,57,273,180,118,2170,58,2799,4,0,0,0,0,4,11,0,0,0,0,11,55,13,10,3,4,85,22,4,5,26,4,61,5,3,0,4,0,12,51,0,0,0,0,51,36,18,6,84,8,152,1003,169,131,200,39,1542,46,16,14,394,1277,1747,3849,2151,1557,23175,1953,32685,3178,1271,Armidale Dumaresq (A)
10250,112,1373,1020,13657,407,16569,0,5,3,269,3,280,122,16,22,72,3,235,32,17,9,19,0,77,308,83,62,124,10,587,2310,1262,937,12149,352,17010,90,3,22,5,0,120,66,14,10,109,0,199,293,93,88,1134,28,1636,40,21,8,71,8,148,40,10,4,7,0,61,60,12,6,23,0,101,396,321,222,4547,90,5576,250,126,33,577,19,1005,11,0,3,3,0,17,10,6,4,15,3,38,5,0,0,3,0,8,61,19,7,48,3,138,53,33,31,16,4,137,163,64,46,30,5,308,81,17,14,33,3,148,26,12,6,13,0,57,519,320,236,3140,80,4295,19,5,0,0,0,24,3,0,0,0,0,3,81,18,3,11,0,113,50,13,5,38,3,109,3,3,0,0,0,6,25,4,4,0,0,33,95,34,28,100,0,257,777,240,193,415,33,1658,91,46,34,655,1399,2225,6192,4190,3060,37283,2453,53178,5071,2547,Ballina (A)
10300,13,28,21,832,45,939,0,0,0,16,0,16,11,0,0,4,0,15,0,0,0,0,0,0,9,3,0,3,0,15,38,22,22,623,22,727,0,0,0,0,0,0,4,0,0,4,0,8,5,4,4,71,4,88,3,0,0,12,0,15,3,0,0,0,0,3,3,0,0,0,0,3,9,3,13,233,3,261,110,21,13,148,9,301,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,0,0,3,0,3,0,0,0,3,0,3,3,0,0,3,0,6,7,0,0,0,0,7,13,9,5,137,3,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,0,0,6,0,0,0,0,0,0,41,8,0,16,6,71,9,3,3,68,170,253,290,104,84,2180,262,2920,252,79,Balranald (A)
10350,3504,3924,2233,21942,967,32570,0,10,11,193,8,222,12625,117,182,206,313,13443,812,77,48,137,32,1106,331,93,44,158,4,630,5859,2562,1566,15983,904,26874,1697,42,161,16,40,1956,338,41,33,133,6,551,1025,221,114,1178,73,2611,5014,679,304,1563,151,7711,269,39,16,28,12,364,2541,55,46,21,62,2725,1037,640,316,6095,186,8274,3897,796,319,1603,149,6764,1295,7,26,6,27,1361,23594,3732,1321,2222,1103,31972,2830,284,114,324,79,3631,770,185,83,243,29,1310,859,90,61,27,37,1074,400,121,104,64,18,707,989,93,40,133,24,1279,357,28,18,48,13,464,1022,566,344,3549,107,5588,403,20,21,14,14,472,38,0,0,0,0,38,221,28,16,14,4,283,714,46,48,60,25,893,608,62,20,44,34,768,14734,71,137,81,423,15446,120,47,23,143,4,337,22712,1619,828,1006,803,26968,3694,310,236,1009,9547,14796,114309,16605,8833,58243,15198,213188,106057,11793,Bankstown (C)
10470,95,1031,750,14626,389,16891,0,3,6,140,10,159,187,11,17,106,4,325,31,15,9,15,0,70,206,80,52,178,8,524,1390,960,733,11964,400,15447,89,8,35,10,3,145,39,11,3,108,3,164,242,108,57,902,15,1324,36,25,11,81,0,153,41,12,6,19,0,78,106,3,4,3,4,120,273,211,172,4852,110,5618,134,106,35,357,4,636,12,0,0,0,3,15,69,31,6,42,6,154,7,0,3,0,0,10,52,16,17,38,4,127,87,17,6,10,3,123,79,60,40,33,8,220,63,32,8,42,3,148,28,10,13,21,0,72,397,221,193,2871,70,3752,32,8,3,4,0,47,10,0,0,0,0,10,63,12,9,6,0,90,23,3,3,23,0,52,13,3,0,4,0,20,28,0,0,0,0,28,58,22,13,110,7,210,648,185,126,302,23,1284,69,24,33,806,2394,3326,4607,3228,2363,37673,3471,51342,3836,1947,Bathurst Regional (A)
10550,93,1032,761,11254,293,13433,0,3,0,116,11,130,56,15,9,53,0,133,36,10,3,12,0,61,363,99,82,136,12,692,2178,1033,751,9677,292,13931,74,0,20,0,0,94,47,12,12,100,3,174,400,91,82,1049,29,1651,47,7,11,42,8,115,46,15,6,16,0,83,32,3,4,13,3,55,348,219,140,3223,68,3998,151,73,24,262,14,524,8,4,0,0,0,12,11,3,3,19,0,36,10,5,0,3,0,18,60,8,5,22,0,95,44,23,8,16,0,91,112,56,37,16,3,224,91,19,8,37,3,158,35,7,0,17,3,62,479,267,172,2599,63,3580,10,3,0,0,0,13,4,0,0,0,0,4,58,3,3,8,0,72,20,0,3,15,0,38,3,0,0,0,0,3,19,3,0,0,3,25,75,18,14,87,3,197,602,155,110,345,17,1229,63,38,32,581,1245,1959,5575,3224,2300,29718,2073,42890,4624,1987,Bega Valley (A)
10600,44,460,340,4450,130,5424,0,0,0,39,4,43,22,4,4,28,0,58,13,3,0,6,0,22,129,30,20,48,6,233,954,448,319,3758,102,5581,12,0,3,0,0,15,23,3,8,45,0,79,156,37,32,343,17,585,11,7,3,13,0,34,15,7,6,10,4,42,7,4,0,3,0,14,154,139,62,1390,40,1785,32,24,10,105,3,174,0,0,0,0,0,0,3,5,0,7,3,18,0,0,0,0,0,0,6,9,4,9,0,28,21,12,8,3,0,44,49,17,21,14,5,106,41,10,3,17,0,71,12,7,3,16,0,38,221,119,79,1073,19,1511,4,0,0,0,0,4,0,0,0,0,0,0,24,4,3,0,3,34,15,0,3,14,0,32,3,3,0,0,0,6,8,0,0,0,0,8,43,16,8,43,4,114,251,108,61,143,13,576,27,14,5,207,300,553,2300,1490,1005,11784,653,17232,1839,882,Bellingen (A)
10650,19,178,124,3169,75,3565,0,0,3,28,0,31,15,3,0,14,3,35,3,10,0,0,0,13,57,6,15,26,3,107,280,181,139,2662,97,3359,16,0,3,3,0,22,0,0,0,20,0,20,51,22,7,213,7,300,4,3,0,6,0,13,5,3,0,0,0,8,15,0,3,5,0,23,56,39,22,911,22,1050,34,21,3,88,3,149,4,0,0,0,0,4,3,0,0,3,0,6,3,0,3,0,0,6,3,3,3,4,0,13,18,0,0,0,0,18,20,9,3,8,0,40,9,0,0,5,0,14,8,0,0,0,0,8,87,55,35,701,14,892,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,13,3,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,11,0,32,106,25,11,51,3,196,24,3,8,166,303,504,861,570,389,8100,530,10450,738,353,Berrigan (A)
10750,4109,8321,5785,56386,2131,76732,12,65,32,994,56,1159,8918,146,237,301,211,9813,2017,208,117,354,50,2746,1478,452,235,717,61,2943,14293,6091,4127,38722,2065,65298,24040,345,804,113,598,25900,603,54,53,293,20,1023,2421,563,357,2871,104,6316,1936,333,188,747,93,3297,950,137,58,167,28,1340,21185,221,151,99,420,22076,2686,1286,863,11771,408,17014,3656,1127,419,2420,174,7796,1482,5,29,12,39,1567,3220,633,229,505,132,4719,330,27,22,37,10,426,4945,972,473,2028,200,8618,2589,290,197,94,116,3286,1225,410,260,162,49,2106,2023,196,151,394,43,2807,665,57,43,156,21,942,2924,1268,939,7959,330,13420,991,68,25,75,29,1188,743,4,4,0,5,756,1133,113,63,29,14,1352,2121,117,87,154,58,2537,2042,124,108,98,69,2441,1093,25,20,16,28,1182,325,113,77,304,14,833,49553,2707,1665,1782,1487,57194,4109,356,262,2615,11586,18928,169817,26834,18080,132375,20649,367755,154113,16797,Blacktown (C)
10800,9,100,72,2551,76,2808,0,0,0,11,0,11,21,0,0,7,0,28,3,0,0,0,0,3,13,10,3,19,0,45,161,97,73,2050,52,2433,9,0,0,0,0,9,3,4,3,11,0,21,10,8,9,297,5,329,3,6,0,12,0,21,3,3,0,3,0,9,0,0,0,0,0,0,17,27,10,665,19,738,12,4,0,23,0,39,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,4,0,5,0,13,10,7,0,3,0,20,7,0,13,6,0,26,3,3,0,3,0,9,0,0,0,0,0,0,33,29,22,609,6,699,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,20,0,27,48,18,9,43,11,129,8,3,3,155,126,295,384,323,223,6496,295,7721,325,210,Bland (A)
10850,12,151,120,2869,78,3230,0,3,0,32,3,38,10,3,5,18,0,36,4,4,0,5,0,13,39,14,8,22,0,83,235,180,113,2338,80,2946,15,0,0,0,0,15,5,3,0,23,0,31,31,16,14,154,3,218,3,4,0,3,0,10,0,4,0,0,0,4,6,0,4,0,0,10,38,45,19,898,25,1025,17,15,12,50,3,97,0,0,0,0,0,0,3,3,0,0,0,6,3,0,0,0,0,3,10,0,0,0,0,10,10,5,3,3,0,21,17,15,3,6,3,44,14,6,0,3,0,23,0,0,3,3,0,6,50,52,32,528,23,685,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,6,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,20,0,35,62,22,18,63,10,175,6,0,6,159,295,466,608,553,360,7204,523,9248,513,336,Blayney (A)
10900,358,4004,2598,22979,714,30653,0,14,3,157,7,181,457,76,71,155,12,771,167,67,20,61,7,322,815,278,176,375,22,1666,6975,3579,2451,18529,594,32128,211,11,42,19,7,290,236,58,47,223,18,582,1066,357,247,1701,62,3433,288,73,48,180,15,604,303,55,28,65,5,456,219,44,23,32,3,321,1540,882,562,7699,215,10898,555,266,126,743,23,1713,54,6,9,3,0,72,75,28,21,56,5,185,13,7,3,3,3,29,257,131,58,171,12,629,99,33,23,17,8,180,360,195,117,49,21,742,437,102,49,137,11,736,187,48,27,86,3,351,1726,901,564,5525,145,8861,53,11,5,9,3,81,4,0,0,0,0,4,152,32,25,15,3,227,194,33,9,57,8,301,21,12,3,0,0,36,71,0,8,6,0,85,296,106,60,269,10,741,2657,767,479,868,129,4900,169,76,86,764,3361,4456,20015,12252,7988,60953,5426,106634,16192,7174,Blue Mountains (C)
10950,3,46,33,1344,22,1448,0,0,0,25,3,28,8,0,0,13,0,21,0,0,0,12,0,12,3,0,0,0,0,3,40,42,26,987,32,1127,6,0,4,0,0,10,0,0,0,0,0,0,4,3,3,61,3,74,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,14,14,6,333,6,373,4,0,4,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,15,7,0,0,0,0,7,3,8,0,0,0,11,8,0,0,4,0,12,0,0,0,0,0,0,12,8,8,175,3,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,43,0,0,10,3,56,3,0,3,79,184,269,174,124,91,3062,256,3707,142,77,Bogan (A)
11000,0,55,40,972,36,1103,0,0,0,5,0,5,3,0,0,3,0,6,9,0,0,0,0,9,12,5,3,0,0,20,110,70,51,815,24,1070,0,0,4,0,0,4,3,0,0,0,0,3,23,7,3,73,0,106,3,0,0,6,0,9,7,0,0,0,0,7,3,0,0,0,0,3,18,10,12,199,4,243,0,3,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,5,0,0,0,5,3,0,0,0,0,3,4,3,0,3,0,10,17,11,7,252,11,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,11,34,10,12,5,4,65,3,0,3,60,64,130,258,182,135,2414,143,3132,233,116,Bombala (A)
11050,3,47,38,1033,22,1143,0,3,0,3,3,9,8,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,13,101,56,39,797,23,1016,0,0,0,0,0,0,3,0,0,3,0,6,13,0,0,59,0,72,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,18,12,7,419,5,461,3,4,3,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,3,3,0,0,3,9,5,0,3,3,0,11,3,3,0,0,0,6,0,0,0,0,0,0,17,16,11,160,5,209,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,14,17,3,3,15,0,38,3,0,3,65,62,133,226,150,107,2578,123,3184,180,88,Boorowa (A)
11100,521,1054,813,5459,209,8056,0,10,0,82,3,95,3609,35,72,84,62,3862,343,31,23,51,14,462,128,30,22,35,0,215,1972,696,453,3657,228,7006,943,12,66,8,15,1044,135,21,6,32,4,198,261,61,41,317,11,691,1840,238,92,479,69,2718,134,15,13,17,4,183,851,11,5,11,13,891,570,222,169,1784,67,2812,931,158,77,382,45,1593,161,3,3,0,3,170,359,33,28,71,10,501,116,8,9,22,3,158,391,72,32,81,11,587,301,34,28,14,10,387,223,64,33,14,4,338,189,25,8,22,11,255,342,17,13,7,0,379,500,148,94,997,45,1784,253,19,7,17,0,296,53,0,0,0,0,53,145,14,11,4,3,177,499,20,22,38,7,586,716,74,38,25,17,870,199,3,3,0,4,209,49,12,18,58,3,140,7121,364,290,289,209,8273,581,42,43,268,2050,2984,24436,3546,2532,14325,3134,47973,22107,2205,Botany Bay (C)
11150,3,39,36,1239,53,1370,0,0,0,134,12,146,8,0,0,11,0,19,0,0,0,0,0,0,6,3,4,3,0,16,45,30,22,731,15,843,5,0,0,0,0,5,3,3,3,4,3,16,7,5,4,65,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,4,13,237,4,271,3,0,0,13,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,3,13,8,8,160,4,193,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,25,10,11,19,3,68,3,0,0,76,424,503,157,102,101,2706,518,3584,128,72,Bourke (A)
10150,353,1239,808,5039,184,7623,0,3,0,46,0,49,6397,68,123,100,145,6833,239,21,8,55,11,334,140,46,25,65,6,282,2019,885,566,4047,160,7677,895,8,47,8,15,973,154,12,14,54,7,241,279,75,51,411,7,823,869,112,30,286,22,1319,132,30,12,23,5,202,1622,34,24,6,27,1713,613,326,199,2333,58,3529,2893,433,166,751,115,4358,529,4,16,7,13,569,574,78,32,109,23,816,29,10,0,8,0,47,145,42,31,69,8,295,128,20,10,4,7,169,231,50,53,15,7,356,355,37,17,47,7,463,142,17,15,30,8,212,488,224,149,1311,29,2201,118,5,11,11,0,145,16,0,0,0,0,16,66,13,17,3,0,99,336,13,19,26,21,415,162,12,4,5,3,186,340,3,16,3,5,367,54,29,21,80,7,191,4532,391,241,284,130,5578,397,21,24,176,2543,3161,25247,4261,2749,15412,3573,51242,22995,2586,Ashfield (A)
10200,1405,750,560,3185,189,6089,3,11,3,44,0,61,15794,77,157,78,352,16458,637,41,27,81,10,796,80,25,10,26,0,141,2195,467,313,2570,212,5757,1598,11,78,13,55,1755,73,5,5,25,8,116,272,41,34,213,9,569,419,53,29,83,11,595,56,10,0,7,0,73,3020,33,14,9,72,3148,320,112,73,1084,34,1623,748,148,67,237,20,1220,3649,3,24,6,92,3774,3833,580,192,312,197,5114,81,3,3,9,3,99,150,20,14,37,8,229,220,9,21,6,12,268,124,33,19,18,4,198,225,23,19,24,5,296,351,8,16,18,5,398,267,104,83,656,22,1132,123,10,4,4,3,144,97,0,0,0,0,97,90,5,7,5,0,107,306,12,8,17,3,346,4157,244,168,115,141,4825,1763,11,18,13,40,1845,29,9,6,34,4,82,14924,360,250,207,504,16245,1648,79,59,203,5806,7795,58657,3297,2281,9339,7821,81395,55261,2343,Auburn (C)
11200,3,21,9,570,18,621,0,4,3,645,4,656,0,0,3,3,0,6,0,0,0,0,0,0,0,3,0,0,0,3,13,18,9,287,5,332,0,0,0,0,0,0,0,0,0,7,0,7,6,4,3,24,0,37,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,118,0,131,4,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,0,3,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,5,8,0,76,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,8,3,15,0,48,3,0,0,38,107,148,66,79,36,1799,134,2114,55,42,Brewarrina (A)
11250,29,388,202,7764,238,8621,0,0,0,91,13,104,27,3,0,21,3,54,34,3,0,16,0,53,38,15,12,23,0,88,319,324,170,6124,240,7177,48,3,17,9,3,80,3,7,0,30,0,40,62,34,16,730,13,855,34,12,3,45,10,104,7,0,0,5,0,12,48,4,3,12,4,71,52,68,17,1458,34,1629,144,77,11,240,6,478,0,0,0,0,0,0,8,3,0,16,0,27,3,0,0,0,0,3,73,45,23,130,4,275,18,3,0,5,3,29,23,13,12,5,0,53,11,4,6,37,0,58,4,5,0,6,0,15,102,69,48,1185,33,1437,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,13,7,0,0,11,0,18,3,0,0,0,0,3,3,0,0,0,0,3,11,10,0,50,5,76,163,60,28,144,8,403,35,6,11,527,1112,1691,1315,1156,583,18684,1732,23470,1120,733,Broken Hill (C)
11500,1677,4866,3351,35426,1309,46629,10,51,20,518,40,639,2895,71,114,174,85,3339,764,101,60,156,26,1107,587,240,100,317,23,1267,8552,3792,2692,24756,1254,41046,4376,104,303,49,114,4946,393,53,31,214,28,719,1401,365,242,1955,92,4055,829,202,104,369,61,1565,357,60,43,71,8,539,5144,95,65,44,114,5462,1673,760,551,7800,246,11030,1614,509,233,1305,79,3740,125,4,13,0,3,145,1791,332,107,309,91,2630,348,33,24,36,19,460,742,240,136,551,38,1707,1206,131,85,70,80,1572,620,200,127,88,40,1075,940,107,66,229,24,1366,379,37,26,76,6,524,2091,879,627,5417,202,9216,423,41,16,37,14,531,105,0,0,0,0,105,818,70,49,33,31,1001,1228,94,71,88,45,1526,130,36,3,8,12,189,848,14,34,11,25,932,262,68,34,177,18,559,20419,1528,839,1175,825,24786,1795,207,182,1552,6812,10548,64542,15290,10348,83011,11764,184955,57232,9447,Campbelltown (C)
11520,536,2149,1503,11024,304,15516,0,3,4,38,0,45,7909,173,212,223,133,8650,404,50,42,103,8,607,299,106,53,108,8,574,3860,1610,1135,8855,243,15703,633,18,63,9,17,740,247,35,24,108,9,423,563,142,103,772,18,1598,1875,287,121,775,50,3108,213,23,21,40,4,301,1677,58,32,33,28,1828,1318,548,323,4823,94,7106,7513,1252,518,2629,249,12161,2426,12,20,9,49,2516,1007,192,86,285,37,1607,103,18,7,16,10,154,393,98,43,160,7,701,167,25,15,3,3,213,422,110,71,25,9,637,372,42,61,86,13,574,278,35,25,56,3,397,998,442,272,2739,58,4509,227,17,25,28,6,303,21,0,0,0,0,21,218,35,25,12,8,298,484,51,31,55,7,628,362,22,15,17,8,424,490,5,23,3,10,531,123,44,24,154,3,348,5455,587,463,545,116,7166,556,84,64,460,4267,5431,41149,8273,5424,34193,5779,94818,37296,5264,Canada Bay (A)
11550,2477,2161,1366,8801,508,15313,0,19,5,158,7,189,17395,149,185,153,417,18299,486,38,19,68,11,622,192,63,50,69,7,381,4623,1343,894,6500,604,13964,2174,38,119,16,83,2430,271,34,23,75,9,412,577,155,91,572,37,1432,10510,1036,469,2538,341,14894,263,45,13,26,4,351,3532,42,40,14,76,3704,856,419,270,3222,127,4894,4536,725,299,1408,166,7134,2856,18,29,11,70,2984,11480,1289,589,1164,464,14986,568,69,21,82,17,757,395,99,36,137,11,678,639,52,35,18,42,786,365,71,45,22,11,514,373,37,36,43,12,501,207,15,16,33,6,277,695,311,212,1796,63,3077,324,27,14,27,4,396,10,4,0,0,0,14,128,16,12,11,0,167,702,41,27,53,21,844,584,62,10,32,17,705,4492,22,49,13,118,4694,78,22,19,101,3,223,25939,1198,727,796,720,29380,2826,186,169,595,8099,11875,100553,9806,5889,28554,12075,156877,94099,6760,Canterbury (C)
11600,0,52,46,1094,19,1211,0,0,0,19,0,19,3,0,0,9,0,12,3,0,0,0,0,3,9,0,4,6,0,19,66,47,44,829,33,1019,22,0,4,0,0,26,0,0,0,9,0,9,13,4,3,85,3,108,5,0,0,0,0,5,0,0,0,4,0,4,15,3,0,0,0,18,20,8,11,270,12,321,22,11,6,37,0,76,9,0,0,0,3,12,4,0,3,8,0,15,0,0,0,3,0,3,5,4,0,0,0,9,21,0,0,0,0,21,9,7,3,0,0,19,0,0,0,4,0,4,0,0,0,0,0,0,16,17,8,226,4,271,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,9,24,8,3,24,3,62,7,3,3,63,72,148,280,167,141,2696,149,3433,240,101,Carrathool (A)
