gcc_name16,gcc_code16,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings
Greater Sydney,1GSYD,179500,603062,532633,164918,89744,1569849,54026,1623872
Rest of NSW,1RNSW,60133,343096,355218,118134,62261,938838,41600,980442
Greater Melbourne,2GMEL,137311,546747,576152,173431,90645,1524287,50187,1574474
Rest of Vic.,2RVIC,28747,175932,200137,69703,40647,515162,23068,538228
Greater Brisbane,3GBRI,51381,269903,294816,98224,51672,765991,23470,789464
Rest of Qld,3RQLD,47753,296332,325281,109112,56095,834570,32796,867368
Greater Adelaide,4GADE,39478,180244,177700,54495,26030,477948,14503,492448
Rest of SA,4RSAU,8370,48696,52234,19755,11771,140822,5518,146344
Greater Perth,5GPER,33694,222388,271887,92606,50906,671490,18791,690280
Rest of WA,5RWAU,8921,51809,65467,26361,16805,169352,7140,176495
Greater Hobart,6GHOB,6840,31427,29613,9870,5051,82799,2828,85630
Rest of Tas.,6RTAS,6854,37833,39482,15048,8424,107642,4309,111949
Greater Darwin,7GDAR,2285,13057,16773,5849,3145,41111,1941,43043
Rest of NT,7RNTE,4662,7504,5577,1867,958,20564,1449,22013
Australian Capital Territory,8ACTE,7832,53025,55714,15552,7030,139148,3513,142664
Other Territories,9OTER,63,435,516,178,105,1296,69,1360
