gcc_name16,gcc_code16,f_grdi_grcer_grdi_mng,f_grdi_grcer_grdi_pro,f_grdi_grcer_grdi_ttw,f_grdi_grcer_grdi_cps,f_grdi_grcer_grdi_ca,f_grdi_grcer_grdi_sal,f_grdi_grcer_grdi_mod,f_grdi_grcer_grdi_lab,f_grdi_grcer_grdi_idns,f_grdi_grcer_grdi_tot,f_grdi_grcer_gradcer_mng,f_grdi_grcer_gradcer_pro,f_grdi_grcer_gradcer_ttw,f_grdi_grcer_gradcer_cps,f_grdi_grcer_gradcer_ca,f_grdi_grcer_gradcer_sal,f_grdi_grcer_gradcer_mod,f_grdi_grcer_gradcer_lab,f_grdi_grcer_gradcer_idns,f_grdi_grcer_gradcer_tot,f_bade_bade_mng,f_bade_bade_pro,f_bade_bade_ttw,f_bade_bade_cps,f_bade_bade_ca,f_bade_bade_sal,f_bade_bade_mod,f_bade_bade_lab,f_bade_bade_idns,f_bade_bade_tot,f_advdi_di_advdi_di_nfd_mng,f_advdi_di_advdi_di_nfd_pro,f_advdi_di_advdi_di_nfd_ttw,f_advdi_di_advdi_di_nfd_cps,f_advdi_di_advdi_di_nfd_ca,f_advdi_di_advdi_di_nfd_sal,f_advdi_di_advdi_di_nfd_mod,f_advdi_di_advdi_di_nfd_lab,f_advdi_di_advdi_di_nfd_idns,f_advdi_di_advdi_di_nfd_tot,f_advdi_di_advdi_asde_mng,f_advdi_di_advdi_asde_pro,f_advdi_di_advdi_asde_ttw,f_advdi_di_advdi_asde_cps,f_advdi_di_advdi_asde_ca,f_advdi_di_advdi_asde_sal,f_advdi_di_advdi_asde_mod,f_advdi_di_advdi_asde_lab,f_advdi_di_advdi_asde_idns,f_advdi_di_advdi_asde_tot,f_advdi_di_dip_mng,f_advdi_di_dip_pro,f_advdi_di_dip_ttw,f_advdi_di_dip_cps,f_advdi_di_dip_ca,f_advdi_di_dip_sal,f_advdi_di_dip_mod,f_advdi_di_dip_lab,f_advdi_di_dip_idns,f_advdi_di_dip_tot,f_cert_certiii_iv_mng,f_cert_certiii_iv_pro,f_cert_certiii_iv_ttw,f_cert_certiii_iv_cps,f_cert_certiii_iv_ca,f_cert_certiii_iv_sal,f_cert_certiii_iv_mod,f_cert_certiii_iv_lab,f_cert_certiii_iv_idns,f_cert_certiii_iv_tot,f_cert_certi_ii_mng,f_cert_certi_ii_pro,f_cert_certi_ii_ttw,f_cert_certi_ii_cps,f_cert_certi_ii_ca,f_cert_certi_ii_sal,f_cert_certi_ii_mod,f_cert_certi_ii_lab,f_cert_certi_ii_idns,f_cert_certi_ii_tot,f_cert_cert_nfd_mng,f_cert_cert_nfd_pro,f_cert_cert_nfd_ttw,f_cert_cert_nfd_cps,f_cert_cert_nfd_ca,f_cert_cert_nfd_sal,f_cert_cert_nfd_mod,f_cert_cert_nfd_lab,f_cert_cert_nfd_idns,f_cert_cert_nfd_tot,f_le_id_mng,f_le_id_pro,f_le_id_ttw,f_le_id_cps,f_le_id_ca,f_le_id_sal,f_le_id_mod,f_le_id_lab,f_le_id_idns,f_le_id_tot,f_le_ns_mng,f_le_ns_pro,f_le_ns_ttw,f_le_ns_cps,f_le_ns_ca,f_le_ns_sal,f_le_ns_mod,f_le_ns_lab,f_le_ns_idns,f_le_ns_tot,f_tot_mng,f_tot_pro,f_tot_ttw,f_tot_cps,f_tot_ca,f_tot_sal,f_tot_mod,f_tot_lab,f_tot_idns,f_tot_tot,p_pode_pode_nfd_mng,p_pode_pode_nfd_pro,p_pode_pode_nfd_ttw,p_pode_pode_nfd_cps,p_pode_pode_nfd_ca,p_pode_pode_nfd_sal,p_pode_pode_nfd_mod,p_pode_pode_nfd_lab,p_pode_pode_nfd_idns,p_pode_pode_nfd_tot,p_pode_doctde_mng,p_pode_doctde_pro,p_pode_doctde_ttw,p_pode_doctde_cps,p_pode_doctde_ca,p_pode_doctde_sal,p_pode_doctde_mod,p_pode_doctde_lab,p_pode_doctde_idns,p_pode_doctde_tot,p_pode_masde_mng,p_pode_masde_pro,p_pode_masde_ttw,p_pode_masde_cps,p_pode_masde_ca,p_pode_masde_sal,p_pode_masde_mod,p_pode_masde_lab,p_pode_masde_idns,p_pode_masde_tot,p_grdigrcer_grdigrcernfd_mng,p_grdigrcer_grdigrcernfd_pro,p_grdigrcer_grdigrcernfd_ttw,p_grdigrcer_grdigrcernfd_cps,p_grdigrcer_grdigrcernfd_ca,p_grdigrcer_grdigrcernfd_sal,p_grdigrcer_grdigrcernfd_mod,p_grdigrcer_grdigrcernfd_lab,p_grdigrcer_grdigrcernfd_idns,p_grdigrcer_grdigrcernfd_tot,p_grdi_grcer_grdi_mng,p_grdi_grcer_grdi_pro,p_grdi_grcer_grdi_ttw,p_grdi_grcer_grdi_cps,p_grdi_grcer_grdi_ca,p_grdi_grcer_grdi_sal,p_grdi_grcer_grdi_mod,p_grdi_grcer_grdi_lab,p_grdi_grcer_grdi_idns,p_grdi_grcer_grdi_tot,p_grdi_grcer_gradcer_mng,p_grdi_grcer_gradcer_pro,p_grdi_grcer_gradcer_ttw,p_grdi_grcer_gradcer_cps,p_grdi_grcer_gradcer_ca,p_grdi_grcer_gradcer_sal,p_grdi_grcer_gradcer_mod,p_grdi_grcer_gradcer_lab,p_grdi_grcer_gradcer_idns,p_grdi_grcer_gradcer_tot,p_bade_bade_mng,p_bade_bade_pro,p_bade_bade_ttw,p_bade_bade_cps,p_bade_bade_ca,p_bade_bade_sal,p_bade_bade_mod,p_bade_bade_lab,p_bade_bade_idns,p_bade_bade_tot,p_advdi_di_advdi_di_nfd_mng,p_advdi_di_advdi_di_nfd_pro,p_advdi_di_advdi_di_nfd_ttw,p_advdi_di_advdi_di_nfd_cps,p_advdi_di_advdi_di_nfd_ca,p_advdi_di_advdi_di_nfd_sal,p_advdi_di_advdi_di_nfd_mod,p_advdi_di_advdi_di_nfd_lab,p_advdi_di_advdi_di_nfd_idns,p_advdi_di_advdi_di_nfd_tot
Rest of NSW,1RNSW,1284,7550,138,1287,1038,182,20,102,71,11678,449,2327,34,161,350,40,0,25,25,3417,10449,62441,1986,8087,10838,2946,239,1802,820,99605,68,139,25,288,130,65,11,31,13,768,3767,8474,905,5427,5971,1533,162,825,282,27347,4655,6763,1798,13148,10336,2978,275,1502,435,41877,6834,7212,11457,27205,24439,9683,1306,6101,902,95147,1053,600,504,2111,3993,2191,241,1385,82,12166,1765,1201,803,4093,6293,2284,258,1398,187,18275,438,813,188,637,1384,458,65,328,70,4386,1366,1751,605,2522,2586,1738,173,1666,952,13362,35452,114939,18724,65923,68911,24430,2788,15405,4049,350623,141,720,9,40,54,11,4,8,9,1008,929,6652,113,112,220,40,15,53,68,8192,6890,19657,751,1288,2167,648,184,557,327,32477,253,987,29,67,99,17,9,16,21,1489,2327,11035,399,1578,1310,267,101,186,123,17326,936,3040,123,311,469,65,29,56,47,5070,23518,97140,5843,12047,14148,5039,1429,4065,1534,164755,134,203,88,338,150,88,26,56,18,1088
Greater Sydney,1GSYD,3045,14100,277,2174,2673,513,39,178,206,23204,1027,3734,56,253,659,108,8,29,40,5910,39668,157762,7114,24457,45854,17221,1382,6328,3691,303472,141,218,52,378,276,139,18,59,29,1312,7647,15401,2156,8791,15262,4739,508,1758,701,56964,9681,13017,3964,20095,22176,7649,658,2537,1052,80828,7991,8674,12574,26911,28300,10496,1728,4813,1421,102907,1117,912,561,2045,5361,2243,318,1070,160,13791,2555,2418,1107,5320,11141,3359,465,1508,384,28265,1235,2907,523,1410,3993,1218,176,709,276,12452,1422,3237,782,2936,4629,2114,370,1618,2120,19229,92979,290521,30872,99722,154382,54085,5969,21793,11450,761782,643,2121,44,87,296,87,20,23,35,3359,3231,21404,385,335,805,192,97,108,240,26798,40437,109148,5849,7353,21688,8595,2737,3372,2768,201953,1389,3931,155,262,726,281,104,118,126,7083,6234,22162,880,2779,3736,912,319,434,358,37807,2074,5301,240,460,1015,214,68,73,104,9547,95583,289967,25081,37552,67982,31991,10461,16593,8027,583239,287,356,229,479,339,226,93,143,56,2207
Rest of Vic.,2RVIC,1035,6528,126,1327,688,141,10,78,61,10005,280,1444,19,160,172,19,8,13,21,2132,5533,34132,1174,4805,5731,1869,126,1145,429,54950,37,76,24,179,76,32,0,23,12,465,2271,4353,645,3235,2888,906,93,510,150,15051,2711,3971,1157,8092,5462,1737,158,998,252,24542,3528,2793,6560,15340,10586,5325,594,4049,448,49219,495,262,269,1175,1509,1042,100,741,55,5633,670,352,394,2262,1736,957,99,700,63,7231,206,429,119,281,370,179,20,179,40,1821,855,1130,394,1585,1182,1021,134,1115,584,7993,19343,63320,11042,39003,31124,13394,1356,9681,2202,190456,86,459,12,28,34,11,0,7,7,644,441,2974,57,58,91,8,9,27,38,3693,3276,9303,367,698,903,291,115,269,147,15379,180,724,25,60,67,20,4,7,15,1096,1922,9197,304,1694,899,210,75,197,98,14594,527,1852,75,240,232,29,18,34,38,3043,12894,52177,3237,6865,7610,3067,804,2555,809,90013,68,104,57,219,94,47,10,49,19,680
Greater Melbourne,2GMEL,4301,22422,464,4120,3578,804,57,230,226,36206,1062,4654,87,352,866,131,11,34,51,7251,32502,141507,7176,23735,41426,16774,1138,5786,2904,272944,132,193,72,475,260,172,18,67,31,1420,6431,12271,2566,9226,12321,4360,419,1593,523,49723,8643,12166,4860,22511,19544,7836,681,2691,884,79813,7137,6565,13138,30336,24127,10994,1950,6045,1155,101457,764,641,539,2292,3519,1875,258,1005,94,10981,1691,1552,947,5514,6293,2560,381,1300,263,20497,837,2135,460,1175,1867,881,118,476,163,8119,1365,2926,850,3462,3655,2147,367,1668,1854,18291,78318,264348,32792,108080,128273,51886,5621,22294,9246,700857,557,2225,66,121,283,87,12,39,27,3420,3264,23444,362,332,842,186,65,125,265,28901,29775,82102,4765,6835,16292,6738,2308,3641,2081,154522,1471,4406,167,344,759,279,90,132,126,7779,8461,33883,1221,5048,4957,1353,385,602,438,56346,2056,6309,273,636,1212,250,71,98,92,11000,81932,257146,23376,35661,61945,30557,8946,15364,6303,521227,258,329,259,605,330,257,113,156,54,2354
Greater Brisbane,3GBRI,1419,8712,180,1404,1471,229,18,121,98,13661,664,2957,48,171,585,80,3,28,32,4569,12714,71686,2627,10246,17393,5464,364,2803,1159,124459,55,96,38,241,159,56,8,36,10,715,2574,5782,853,3916,4852,1404,134,657,225,20405,5094,6248,2036,12740,12117,3858,349,1620,493,44552,5008,4638,7809,20508,18828,7428,1264,4474,715,70671,521,376,319,1363,2175,1530,162,796,58,7310,939,868,466,2994,3598,1541,192,859,124,11578,332,844,192,537,980,366,44,311,64,3675,608,1225,345,1465,1659,968,162,913,841,8189,34807,126038,15427,57212,67498,23949,2760,13127,4172,344991,230,887,33,48,110,35,5,9,17,1379,1349,10910,180,120,361,81,35,57,83,13187,11121,31321,1476,2345,5292,1908,620,1213,661,55963,441,1422,49,96,231,86,26,53,31,2442,2899,13263,480,1789,2021,413,137,252,176,21432,1358,4073,174,330,861,132,39,71,71,7104,31112,123535,8962,15216,25080,9992,2798,6627,2411,225729,104,148,126,312,199,87,42,86,23,1121
Rest of Qld,3RQLD,953,6696,123,1311,886,216,19,96,56,10360,368,2080,31,141,336,57,3,20,20,3054,8938,57557,1992,8207,10675,3569,311,2420,637,94316,71,112,39,303,131,68,5,40,16,783,3124,6100,796,4596,4437,1597,176,852,226,21911,5087,5979,1874,13769,10555,3760,416,1857,422,43712,6299,4948,10269,24637,21310,9713,1558,5938,717,85394,722,422,490,1832,2516,2035,192,1201,77,9483,1208,880,588,3716,3592,2009,247,1178,136,13542,349,701,179,614,829,400,53,331,71,3530,1031,1418,546,2173,1854,1648,206,1549,959,11372,30572,99767,17153,62184,58481,25525,3206,15787,3469,316146,101,666,19,41,55,23,0,6,5,917,586,5202,66,79,158,39,12,45,37,6228,5066,16050,694,1210,1778,770,188,636,231,26625,221,980,44,65,107,27,9,27,21,1495,1830,9665,372,1637,1093,310,107,195,103,15304,718,2679,146,262,446,103,24,50,34,4464,19617,88017,6251,12094,13731,6011,1696,4761,1347,153532,142,152,96,367,150,96,22,88,26,1140
Rest of SA,4RSAU,157,823,24,221,99,20,3,20,3,1381,43,238,0,22,39,4,0,8,3,357,1180,6970,189,800,909,239,34,369,61,10746,14,18,4,52,12,3,0,8,0,104,623,1149,97,881,598,181,37,139,25,3728,659,729,173,2005,1042,303,39,239,42,5228,1178,743,1560,4302,2966,1399,177,1141,131,13604,164,74,90,339,544,365,35,293,22,1917,241,119,118,710,511,291,34,227,23,2273,52,74,23,78,101,32,4,73,9,447,231,227,84,396,271,244,33,311,132,1935,4756,12209,2377,9876,7179,3090,403,2852,471,43213,17,88,4,4,3,0,0,3,0,121,81,312,4,7,19,3,0,7,3,444,420,1200,39,87,113,29,15,57,18,1974,11,79,0,3,0,0,0,0,0,108,290,1142,50,255,113,32,14,44,8,1948,91,295,8,31,47,9,0,11,6,500,2569,9972,507,1094,1135,368,157,753,122,16683,18,22,7,60,12,3,0,12,0,141
Greater Adelaide,4GADE,823,4942,109,855,731,126,9,54,45,7692,338,1177,25,133,243,32,0,5,11,1959,5960,38804,1561,6622,8011,2874,143,1659,568,66203,27,64,10,161,53,31,0,8,7,369,1674,4499,493,3245,2959,793,51,412,137,14268,2389,3267,1002,6908,4994,1416,105,634,227,20932,2736,2439,5079,12082,10332,4272,387,2306,427,40061,342,232,218,869,1459,1047,55,555,48,4823,524,487,344,1905,2190,856,75,416,63,6852,174,523,124,379,517,194,15,164,44,2135,331,678,240,969,919,604,57,516,406,4726,17642,68660,9512,35441,34020,12740,933,7162,2153,188258,108,621,9,49,68,21,3,15,9,892,800,6610,114,109,188,48,24,49,37,7975,4915,14400,888,1847,2387,951,462,1059,277,27185,209,800,31,73,98,27,20,23,19,1293,1638,7405,257,1060,1052,225,65,145,83,11929,693,1685,94,207,351,54,17,31,22,3163,14556,65606,4851,9866,11660,5142,1553,4179,1112,118527,69,98,51,188,65,47,19,27,12,577
Greater Perth,5GPER,1262,8107,214,1187,1148,244,16,112,94,12385,416,1988,40,155,337,41,3,21,18,3018,10138,60093,3000,9569,14159,5250,434,2762,967,106380,57,74,35,202,122,59,12,25,22,601,2257,6418,1147,4173,5131,1601,187,825,205,21945,3320,4539,2047,9323,7889,2902,311,1319,324,31971,3632,3433,7519,16758,12995,5573,1018,3050,593,54565,499,326,301,1287,2092,1387,147,635,66,6739,894,789,572,2977,3826,1429,190,748,114,11542,337,870,201,713,1061,414,65,318,69,4046,557,1217,425,1695,1810,1118,184,804,688,8501,26883,104322,16038,49526,53343,20906,2638,11124,3428,288211,257,994,35,72,141,34,3,26,12,1572,1123,8433,154,135,268,60,50,66,81,10377,8527,22736,1542,2116,4022,1558,768,1142,493,42906,434,1449,55,93,237,81,39,32,31,2446,2675,12126,503,1461,1587,402,141,209,158,19264,909,2695,131,348,503,79,29,47,48,4790,27283,104799,9891,14169,20434,9202,3576,6605,2067,198031,105,119,137,252,140,84,60,72,28,1000
Rest of WA,5RWAU,277,1616,33,236,195,35,14,42,12,2452,79,389,9,26,37,0,0,4,5,563,2107,10463,413,1383,1844,567,130,723,126,17751,20,22,6,49,24,10,3,15,0,158,814,1440,244,952,1016,286,96,262,36,5145,908,939,408,2133,1622,525,165,385,65,7146,1492,1010,2209,4926,3957,1620,581,1359,172,17321,244,122,115,525,796,553,81,359,28,2823,366,173,175,845,908,383,90,333,20,3288,109,135,31,147,164,59,23,101,16,779,383,284,185,575,531,376,99,474,206,3103,7208,18189,3872,11951,11316,4485,1285,4101,706,63101,31,132,7,13,16,4,0,0,0,200,102,531,19,12,23,11,3,13,8,719,842,2138,163,193,263,84,68,121,33,3908,46,187,3,17,15,7,3,6,3,281,485,2234,73,294,226,46,41,75,23,3496,155,500,44,54,60,7,12,7,5,840,4707,16042,1450,1914,2261,827,579,1365,244,29397,29,41,34,54,33,14,12,21,0,241
